Assemblage_Name	0-4563939-564943	7386993-0-0	4-1-4	4-0-0	4-1-7095072	0-0-4	7225620-0-0	4-0-789714	3-9678830-1	8869967-1-4
assemblage-296-136	71	0	94	201	0	28	0	0	52	4
assemblage-344-220	66	161	28	39	35	20	41	0	56	10
assemblage-537-763	77	0	86	233	0	36	52	0	9	7
assemblage-930-240	42	0	35	286	0	71	14	29	10	5
assemblage-532-565	91	34	0	0	48	130	0	21	29	4
assemblage-692-481	72	25	0	0	21	35	0	130	168	7
assemblage-605-243	148	42	0	14	0	97	19	24	126	16
assemblage-627-458	0	0	33	54	0	23	0	48	209	8
assemblage-267-236	185	0	137	0	0	0	0	0	0	3
assemblage-667-848	120	10	31	162	0	20	59	24	0	15
