Assemblage_Name	4-1-3621134	1718624-1-2	0-1-2	0-8250767-2	2-2-6804244	2-2-0	4-5321986-3621134	2871913-1-7100913	4-1-0	3551724-1-2
assemblage-370-281	27	23	82	0	11	78	0	51	87	28
assemblage-912-548	0	0	132	0	0	193	0	127	0	13
assemblage-539-762	51	110	107	0	79	58	0	10	47	26
assemblage-708-462	36	159	81	15	12	0	136	0	0	35
assemblage-526-929	48	154	186	0	0	0	0	23	34	22
assemblage-991-355	71	40	237	0	108	0	11	0	0	9
assemblage-799-965	161	153	120	0	6	0	0	0	0	25
assemblage-599-246	112	53	122	6	52	0	81	0	0	42
assemblage-535-559	164	121	47	8	30	0	79	0	0	18
assemblage-921-684	29	107	89	0	38	53	0	56	0	20
