Assemblage_Name	1-0-4	3-3-0	3-3-2	4-0-0	0-0-1	3-7698103-0	4-9320158-0	1-4-4	3-4-3	6089465-3-0
assemblage-363-786	67	178	0	194	0	30	0	0	0	9
assemblage-904-260	202	197	0	47	0	0	33	0	6	5
assemblage-242-242	17	437	0	0	39	0	0	0	0	7
assemblage-298-582	36	388	0	54	0	10	0	0	9	3
assemblage-930-240	135	131	28	75	0	0	83	0	24	10
assemblage-160-161	227	63	22	54	46	0	31	23	15	3
assemblage-688-487	190	234	0	44	0	23	0	0	8	1
assemblage-235-847	128	86	15	40	19	0	42	17	151	2
assemblage-562-744	192	45	13	43	30	0	78	13	75	5
assemblage-1000-339	99	268	0	104	0	0	0	0	0	9
