Assemblage_Name	0-2739135-3378644	2-1-3	1-7920436-0	5145200-4-4	0-2739135-2601566	2-2873961-3	2-4-9255484	2-4-2	0-2739135-5004866	1319474-2739135-5004866	1805691-2739135-5004866	2-4-3112858	2-4-0	2092987-4-2
assemblage-803-461	0	19	131	182	0	53	11	0	31	17	3	0	17	18
assemblage-288-575	0	0	37	25	102	0	0	41	0	44	76	34	0	6
assemblage-663-393	0	0	47	0	87	0	0	88	0	36	64	43	0	13
assemblage-352-266	42	103	48	0	0	97	0	59	0	0	0	0	16	12
assemblage-532-565	0	0	95	0	57	0	0	17	0	25	64	0	0	22
assemblage-480-335	0	0	0	0	0	0	0	36	0	0	0	0	168	9
assemblage-575-740	28	108	134	0	0	39	73	81	0	0	0	0	0	14
assemblage-525-913	37	56	83	0	0	102	18	46	0	0	0	0	0	19
assemblage-1000-339	0	14	188	3	0	0	0	20	48	8	169	5	0	5
assemblage-291-540	0	28	175	114	0	0	25	35	4	0	42	0	4	14
