Assemblage_Name	4-1-1	3-7710326-1	3-5331332-1	3-1-1	0-0-1053910	2243930-9635780-3110739	2243930-3-3110739	3-3288542-1
assemblage-288-575	2	129	84	138	0	10	77	2
assemblage-168-953	0	215	0	51	0	12	163	16
assemblage-352-266	0	0	0	52	6	0	131	13
assemblage-936-250	69	0	0	361	0	0	38	18
assemblage-919-1011	104	0	0	74	24	0	148	14
assemblage-912-548	0	0	0	0	84	0	0	5
assemblage-167-585	0	44	17	52	0	30	275	12
assemblage-720-910	25	79	46	206	0	90	0	12
assemblage-667-848	80	0	0	155	0	0	206	10
assemblage-575-740	6	0	0	364	0	0	74	21
