Assemblage_Name	0-3793517-7913442	5947562-3-3	0-9195572-7913442	4-5484013-3999181	0-3-3	0-3-7913442	4-7335268-3623608	4-3-0	4-4-3999181	1-8293380-1	1479857-3-3	4-8276508-3623608	1-4634918-1	4-4-3	4-7335268-0	4-7147439-3
assemblage-898-542	0	0	0	0	69	0	0	0	0	0	0	0	107	0	0	10
assemblage-260-332	0	22	0	28	0	37	0	0	74	49	66	55	0	63	13	22
assemblage-293-129	0	0	0	0	34	0	22	75	55	0	0	0	15	95	88	32
assemblage-759-877	0	0	0	0	21	0	0	55	0	0	0	0	125	20	24	18
assemblage-709-471	55	78	24	17	0	0	0	0	0	0	43	0	0	0	117	17
assemblage-298-582	7	19	75	0	0	7	0	0	10	0	115	74	0	0	61	45
assemblage-371-808	8	79	6	15	0	0	0	0	0	0	27	0	0	0	158	10
assemblage-936-696	0	47	0	0	84	56	9	25	91	17	41	13	0	32	19	46
assemblage-614-667	0	0	0	0	121	0	52	32	39	0	78	0	16	22	63	8
assemblage-642-861	0	30	0	0	17	223	0	0	12	16	63	0	0	0	65	31
