Assemblage_Name	0-1-3	2-4-7893577	1-2-715170	1-2-1442967	1-3-1	2-4-0	2-3-2	1-2-2	1-4-1	2-1-3	2-7314549-0
assemblage-471-239	37	0	44	17	49	304	0	42	0	0	7
assemblage-766-303	0	22	44	262	0	49	0	67	0	0	15
assemblage-192-834	0	25	44	154	24	128	0	111	0	0	14
assemblage-357-449	34	0	43	45	0	132	13	55	116	31	14
assemblage-402-993	0	64	163	0	0	115	0	27	66	0	10
assemblage-282-274	4	0	0	0	0	189	10	0	120	122	15
assemblage-725-344	0	43	0	22	0	295	0	23	86	0	19
assemblage-405-899	0	0	186	35	25	90	0	90	0	0	4
assemblage-466-841	42	0	12	0	80	145	56	44	67	8	0
assemblage-634-846	0	39	0	90	2	64	0	101	0	0	14
