Assemblage_Name	0-4-2	4-0-4	4-0-2839426	4-2-0	0-6673089-2	3-4-4	3-2-3	5425908-0-4
assemblage-617-852	18	82	213	0	0	129	0	0
assemblage-753-311	121	38	113	0	10	14	199	5
assemblage-596-807	164	23	191	0	11	32	38	19
assemblage-779-928	118	178	30	7	0	33	117	14
assemblage-826-101	243	87	129	0	0	0	37	4
assemblage-176-154	24	8	0	26	0	174	257	2
assemblage-786-950	29	159	8	20	0	69	198	1
assemblage-906-247	265	51	59	0	15	53	42	3
assemblage-259-293	0	86	0	11	0	8	389	6
assemblage-215-804	115	20	174	0	0	113	59	7
