Assemblage_Name	1-1-4	0-4-2	0-4-4	0-3-0	3164783-1-1	0-3240661-4	0-3-3237264	0-651861-2	0-8340334-0
assemblage-489-327	0	18	0	202	187	0	18	60	4
assemblage-958-370	9	296	161	11	0	0	0	0	16
assemblage-945-434	0	0	0	295	82	40	0	0	9
assemblage-755-244	0	0	0	151	181	39	35	58	1
assemblage-614-784	0	6	0	187	155	0	60	78	9
assemblage-361-855	30	52	0	98	137	79	0	98	6
assemblage-166-138	262	24	50	48	66	0	0	0	11
assemblage-955-872	0	0	0	335	127	0	0	0	12
assemblage-770-926	180	0	66	131	97	0	0	0	8
assemblage-877-870	5	43	0	125	114	78	0	107	22
