Assemblage_Name	0-1-4	1-4-7682267	5087370-1-0	3709257-1-4	4-3-2	9694113-3-2	1-4-1	1005457-1-4	9694113-742827-8376142	9694113-3-8376142	9694113-3-5582855	9694113-3444607-8376142	3769800-1-4
assemblage-771-316	0	10	0	0	10	41	123	226	0	10	0	13	10
assemblage-1010-584	46	0	0	12	17	84	233	35	0	0	56	0	12
assemblage-564-597	12	0	0	14	126	20	254	0	0	0	0	0	25
assemblage-867-863	0	13	15	0	24	169	108	48	0	0	40	0	17
assemblage-285-166	0	31	0	0	0	18	28	298	25	23	0	41	19
assemblage-648-313	0	0	0	0	5	55	117	119	0	0	172	0	13
assemblage-540-587	0	0	15	0	39	326	45	34	0	0	12	0	9
assemblage-632-142	0	55	0	0	11	16	158	148	4	0	0	34	15
assemblage-773-447	0	17	0	0	0	0	0	240	26	12	0	40	14
assemblage-111-469	234	0	35	48	6	108	13	0	0	0	0	0	27
