Assemblage_Name	2-2-4638537	0-3782806-1	0-8453357-1	2-2-3876925	2-0-1	0-6924748-1	2-2-3	0-2-1	2-2-7079231	5006166-1-3	6989943-2-3	2-2-4211242
assemblage-969-450	38	0	0	0	0	0	0	0	31	179	0	49
assemblage-261-275	0	0	0	0	118	0	185	51	0	98	0	12
assemblage-1001-562	0	0	0	62	36	152	43	20	23	24	0	19
assemblage-352-856	0	0	0	8	0	131	8	38	75	86	0	13
assemblage-213-296	24	55	42	57	0	64	0	0	146	88	0	6
assemblage-259-175	85	32	0	40	0	22	0	0	122	10	0	20
assemblage-348-821	0	0	0	0	0	111	109	0	135	38	35	24
assemblage-993-792	0	35	17	10	0	58	0	0	166	29	0	35
assemblage-574-610	0	0	0	54	16	16	66	101	0	49	33	18
assemblage-745-228	0	20	16	0	0	179	31	0	195	0	30	12
