Assemblage_Name	1-4-4599247	9009230-3-4	7090369-3-7160049	1-4-8906781	4-0-1	0-0-3	9755896-3-4	3-0-0	4-4-3	1-4-3	4-3-4	7090369-3-4	6850188-3-4
assemblage-379-593	0	0	0	0	0	75	0	97	49	0	153	58	17
assemblage-753-311	155	41	149	33	0	0	0	105	0	0	0	0	11
assemblage-441-260	190	42	0	0	30	19	0	70	20	40	22	32	24
assemblage-730-369	104	109	29	0	6	0	58	60	0	73	0	43	8
assemblage-630-862	87	66	0	262	0	0	0	76	0	0	0	0	4
assemblage-580-593	0	18	0	0	88	54	0	34	86	6	149	10	9
assemblage-786-950	0	159	71	0	24	0	40	41	0	91	14	57	3
assemblage-517-758	165	93	0	140	0	0	5	72	0	0	0	0	9
assemblage-644-161	207	50	0	67	0	0	38	132	0	0	0	0	6
assemblage-748-241	93	134	96	0	0	0	30	17	0	21	0	2	6
