Assemblage_Name	5866751-4-1	4226269-4-633463	8691649-9789588-2	1676199-8725739-333119	8691649-4-2	4-4-2	8239612-8741853-1	8239612-8741853-2575477
assemblage-604-798	0	39	24	219	28	42	44	4
assemblage-618-855	0	0	34	147	53	94	87	9
assemblage-803-103	0	0	60	41	162	87	57	25
assemblage-352-867	91	0	0	35	0	241	60	12
assemblage-157-167	61	0	0	0	0	285	0	31
assemblage-500-313	0	0	105	125	185	2	17	20
assemblage-386-578	20	0	0	0	50	376	0	23
assemblage-874-862	0	56	0	96	108	184	21	13
assemblage-282-184	0	5	85	224	8	73	91	14
assemblage-986-557	25	0	0	11	68	206	0	31
