Assemblage_Name	935069-4-3	1-1383050-3	3516843-1383050-3	2-4511031-2	2-1-2	0-4-3	2407420-1-2	0-4-4054240	1-1-9276428	935069-7393680-6247528	0-4-2901041	1-1-7263108	2407420-3434756-2	6436018-1238247-3	776084-1-2	2664499-1383050-3
assemblage-781-432	0	0	0	0	0	0	58	0	0	14	36	0	102	0	82	16
assemblage-669-336	46	2	0	14	55	0	165	9	5	64	0	41	0	0	0	30
assemblage-278-277	0	72	0	50	63	109	25	0	0	0	0	0	0	0	0	24
assemblage-127-497	0	91	0	0	0	0	34	0	0	144	0	0	91	84	6	22
assemblage-463-280	7	49	61	62	35	60	28	46	11	0	0	98	0	0	0	12
assemblage-607-790	0	0	0	0	0	0	0	0	0	58	64	0	151	115	14	31
assemblage-145-150	0	123	0	0	8	18	145	31	54	0	0	25	0	0	0	21
assemblage-282-184	0	0	0	0	0	0	54	0	0	24	80	0	63	0	68	29
assemblage-369-820	49	79	91	0	0	0	145	0	0	0	0	28	36	19	0	9
assemblage-745-228	0	52	17	0	0	0	126	0	0	92	0	0	45	73	42	32
