Assemblage_Name	1975628-3-3	3-3-6836374	1-2-7996953	1-2-4	4-2673271-823771	1-5292876-4	978164-4582387-0	4-9531621-4979803	1975628-3-9871761	0-9918559-9480199	0-9918559-3	1-2-7159092
assemblage-969-450	0	0	0	146	29	140	0	0	0	0	0	12
assemblage-541-590	0	0	0	144	104	34	0	32	9	0	47	27
assemblage-340-860	12	39	0	246	25	0	83	0	0	31	0	13
assemblage-272-157	0	0	15	241	0	0	0	33	0	0	8	33
assemblage-918-230	0	0	0	268	54	0	0	0	95	0	0	27
assemblage-775-935	18	11	0	253	32	0	76	0	23	17	0	37
assemblage-506-308	0	0	22	304	67	3	0	5	0	0	8	14
assemblage-591-603	98	0	0	42	7	0	9	0	0	10	110	18
assemblage-632-142	0	0	16	387	13	15	0	8	0	0	0	15
assemblage-259-293	28	20	0	156	0	0	0	0	0	0	0	36
