Assemblage_Name	0-5251434-8921280	4-1-1	3-4-7237000	3604675-7778763-7237000	3-0-4	4-5265732-1	1228182-0-628430
assemblage-489-327	0	0	131	82	267	0	13
assemblage-494-764	0	9	71	157	171	0	15
assemblage-762-377	0	43	152	0	176	69	11
assemblage-779-920	9	12	167	0	175	70	12
assemblage-979-731	0	4	50	192	244	0	4
assemblage-607-790	0	33	65	52	317	0	8
assemblage-524-564	0	10	176	0	265	10	18
assemblage-958-360	166	243	42	0	0	0	12
assemblage-819-111	23	24	201	0	46	0	12
assemblage-645-340	10	79	113	0	105	119	18
