Assemblage_Name	5662779-3-8161093	1-1-1	8540694-3-8161093	3-3094426-4	1-8436239-1	4-3-1	8808830-1-1	7048316-9101803-8161093	3-4-4	1-0-0	1-691865-1	3-5883211-4
assemblage-669-336	17	217	0	11	0	148	0	0	39	0	0	16
assemblage-763-309	29	148	0	0	0	0	87	10	0	0	129	35
assemblage-405-899	71	26	0	0	95	157	19	0	12	0	23	21
assemblage-445-852	11	111	14	20	0	219	0	0	0	31	0	13
assemblage-386-578	32	0	0	0	0	8	0	0	101	144	0	20
assemblage-816-95	63	282	0	0	5	0	0	56	0	0	0	11
assemblage-918-207	0	271	44	24	20	0	0	62	0	0	0	23
assemblage-271-166	10	33	0	0	21	180	45	0	0	0	14	20
assemblage-436-255	58	130	16	26	0	100	0	0	55	25	0	14
assemblage-775-446	39	75	0	0	20	50	72	0	0	0	0	16
