Assemblage_Name	2-0-7372458	3-1169178-7933860	3-2-7933860	2-2264720-7372458	3-3946061-7933860	2-4209856-4909636	2-3523800-1	3-2-1634271	2-0-1	2-0-0	2-911788-7372458	1881561-4473945-7372458	2-4-1	9857940-1-1	2-4209856-1	2-7155275-1	996486-4-1
assemblage-830-129	154	0	214	0	0	0	0	0	24	0	0	0	41	10	0	0	2
assemblage-943-371	133	168	111	0	0	0	0	0	0	0	0	7	19	0	0	0	15
assemblage-860-563	44	0	231	0	0	0	7	11	42	0	11	0	138	3	0	0	13
assemblage-968-844	0	0	316	0	0	8	0	0	18	25	0	0	86	0	23	0	19
assemblage-963-933	0	0	388	0	0	0	0	0	0	48	0	0	0	0	0	0	1
assemblage-935-118	26	32	260	20	44	0	0	0	0	0	0	44	59	0	0	0	4
assemblage-986-762	0	0	282	0	0	0	0	14	41	0	0	0	142	8	7	0	6
assemblage-902-948	88	154	197	0	0	0	0	0	0	0	0	0	28	10	0	0	7
assemblage-964-845	0	0	333	0	0	34	19	0	17	0	0	0	27	0	51	9	10
assemblage-504-675	0	0	0	0	0	58	5	0	0	0	0	0	51	19	254	0	9
assemblage-787-946	40	0	219	0	0	0	0	0	0	0	0	0	110	115	0	0	16
assemblage-199-476	0	0	261	0	0	0	50	17	44	11	0	0	33	44	6	0	27
assemblage-131-138	101	27	263	0	0	0	0	0	0	0	0	0	93	12	0	0	4
assemblage-532-763	60	14	148	0	39	0	0	0	0	0	0	141	88	0	0	0	10
assemblage-902-934	163	0	122	0	0	0	0	0	0	0	0	0	126	77	0	0	6
assemblage-618-424	0	108	308	0	0	0	0	0	0	0	0	13	38	0	0	0	3
assemblage-607-434	0	113	287	0	0	0	0	0	0	0	0	22	31	0	0	0	2
assemblage-771-953	12	4	314	0	0	0	0	0	23	0	0	0	127	0	0	0	15
assemblage-698-797	118	15	254	0	0	0	0	0	0	0	0	0	87	24	0	0	2
assemblage-968-117	40	23	223	24	49	0	0	0	0	0	0	62	58	0	0	0	7
assemblage-990-752	62	0	56	0	0	0	0	0	40	0	4	0	224	71	0	14	13
assemblage-727-310	27	281	52	0	0	0	0	0	0	0	0	87	29	0	0	0	18
assemblage-951-364	144	148	124	0	0	0	0	0	0	0	0	0	24	0	0	0	18
assemblage-920-795	22	84	176	46	0	0	0	0	0	0	0	6	163	0	0	0	3
assemblage-965-927	0	0	384	0	0	0	0	0	0	65	0	0	0	0	0	0	4
assemblage-929-942	79	142	211	0	0	0	0	0	0	0	0	0	21	18	0	0	16
assemblage-627-775	167	75	128	0	0	0	0	0	0	0	0	48	23	16	0	0	17
assemblage-283-928	0	0	154	0	0	6	21	16	69	0	0	0	99	56	42	25	12
assemblage-248-931	48	0	213	0	0	0	11	6	42	0	8	0	156	11	0	1	4
assemblage-664-969	10	0	152	0	0	0	0	49	34	0	0	0	85	129	0	16	10
