Assemblage_Name	2-5396908-3034828	992073-5094904-1	9856210-7097838-6725590	2-4795906-1	1322870-5094904-1	4768295-1-3	9516243-2-1	2-1-0	4768295-2167088-3	2-0-5984944	2-5396908-2	9210921-2-1	8615899-2167088-3	2-0-1	9856210-0-6725590	8627021-5396908-3034828	2-1-9853449	8382353-1-3	0-5094904-1	4768295-2167088-9201922	6354405-5396908-2	0-2-1	2528315-2167088-3	4-1-9355184	2-8981348-1	2-0-6725590	415454-1-3	4-1-3	2-4795906-4132668	0-2911411-1	0-5803737-1	9642951-2167088-3	8582710-0-1
assemblage-510-208	0	0	0	57	0	33	0	23	138	0	0	0	0	26	0	0	0	0	43	0	0	34	0	0	17	55	0	0	0	0	0	0	20
assemblage-902-784	0	0	0	0	0	125	0	0	78	0	65	0	0	18	0	0	12	3	0	0	0	113	0	0	0	0	0	17	0	0	7	0	41
assemblage-521-793	0	0	0	0	0	0	0	0	42	0	0	0	0	0	172	0	0	0	228	23	0	0	0	0	0	0	0	0	0	0	0	17	18
assemblage-454-431	0	0	0	0	0	274	0	0	105	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	25	0	0	0	0	19
assemblage-902-848	28	0	0	0	0	51	9	15	0	0	18	0	0	47	0	0	0	0	0	0	0	222	0	29	34	0	0	0	0	0	0	0	30
assemblage-601-779	4	0	4	0	0	0	0	0	156	0	0	0	18	51	79	0	0	0	83	0	0	0	0	0	2	9	48	0	0	12	0	0	27
assemblage-124-770	0	10	0	0	0	0	0	0	48	0	0	0	0	83	70	0	0	0	190	0	0	0	2	0	0	0	0	0	31	0	0	15	32
assemblage-752-974	6	0	0	0	0	0	0	0	176	0	0	0	21	64	74	0	0	0	63	0	0	0	0	0	9	8	42	0	0	7	0	0	30
assemblage-928-943	14	0	15	0	0	4	0	0	158	0	0	0	14	44	77	0	0	0	74	0	0	0	0	0	10	0	36	0	0	4	0	0	29
assemblage-135-471	0	0	0	0	0	59	0	11	196	0	11	3	0	123	0	0	0	46	0	0	0	36	0	0	0	0	0	0	0	0	0	0	15
assemblage-505-214	68	0	6	0	0	21	42	4	106	0	0	0	0	40	37	43	0	0	0	0	0	22	0	35	8	23	5	0	0	0	0	0	15
assemblage-847-825	0	91	0	0	0	0	0	0	10	0	0	0	0	43	143	0	0	0	171	3	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-859-499	0	0	0	0	0	0	0	12	0	0	159	9	0	0	0	0	16	0	0	0	9	264	0	0	0	0	0	0	0	0	0	0	3
assemblage-877-569	0	0	0	0	0	103	0	44	134	0	20	0	0	8	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	49	0	11
assemblage-572-227	0	0	0	0	4	0	0	0	60	0	0	0	0	0	161	0	0	0	187	0	0	0	8	0	0	0	0	0	8	0	0	28	12
assemblage-181-106	10	0	0	10	0	0	0	99	77	30	100	0	0	49	0	0	0	0	0	0	0	0	0	0	8	0	0	57	0	0	0	0	27
assemblage-297-850	0	0	0	0	0	0	0	0	25	0	0	0	0	0	170	0	0	0	226	29	0	0	0	0	0	0	0	0	0	0	0	25	25
assemblage-824-163	0	0	0	72	0	56	0	37	71	0	15	0	0	35	0	0	0	0	0	0	0	119	0	0	40	0	0	28	0	0	0	0	22
assemblage-926-782	0	0	0	0	0	7	0	44	26	0	116	22	0	115	0	0	10	24	0	0	5	33	0	0	0	0	0	81	0	0	0	0	17
assemblage-905-835	25	0	0	0	0	52	0	0	10	0	0	0	0	223	0	4	0	0	9	0	0	89	0	9	16	16	24	0	0	0	0	0	23
assemblage-948-371	0	0	0	0	50	0	0	0	41	0	0	0	6	0	156	0	0	0	117	0	0	0	7	0	0	19	26	0	0	0	0	28	7
assemblage-746-583	0	0	0	0	65	0	0	0	91	0	0	0	0	0	5	0	0	0	254	0	0	0	32	0	0	10	0	0	9	0	0	0	17
assemblage-936-773	0	0	0	0	0	7	0	48	36	0	125	17	0	96	0	0	16	25	0	0	9	39	0	0	0	0	0	68	0	0	0	0	14
assemblage-283-928	0	0	0	0	0	0	0	0	10	0	31	0	0	305	0	0	0	16	0	0	0	22	0	0	34	16	0	0	0	0	0	0	46
assemblage-983-757	0	0	0	21	0	59	0	14	112	19	0	0	0	145	0	0	0	0	0	0	0	39	0	0	48	0	0	0	0	0	0	0	21
assemblage-106-789	0	27	0	0	0	0	0	0	10	0	0	0	0	0	111	0	0	0	295	0	0	0	0	0	0	0	33	0	0	0	0	5	19
assemblage-756-597	0	0	0	0	60	0	0	0	44	0	0	0	0	0	137	0	0	0	121	0	0	0	8	0	0	14	38	0	0	0	0	11	23
assemblage-856-509	0	0	0	0	0	0	0	19	0	0	154	10	0	0	0	0	15	0	0	0	11	265	0	0	0	0	0	0	0	0	0	0	7
assemblage-699-763	46	0	6	0	0	25	27	9	104	0	0	0	0	33	37	44	0	0	3	0	0	17	0	46	19	40	15	0	0	0	0	0	4
assemblage-658-957	9	0	0	7	0	0	0	81	59	17	139	0	0	84	0	0	0	0	0	0	0	0	0	0	14	0	0	56	0	0	7	0	9
