Assemblage_Name	2-7043297-4	2-2-4	4-0-2	4-4-1710926	4-4-4	8519423-7975850-4	2390635-3-2480259	2-7975850-4	4-3-6419050	4-3-3	2390635-3-3	8211310-4-4
assemblage-205-456	0	24	22	0	195	0	0	0	0	226	0	3
assemblage-860-563	0	334	32	26	46	0	0	12	0	42	0	8
assemblage-249-243	0	370	0	67	23	0	0	0	0	30	3	7
assemblage-373-790	0	30	24	0	174	0	0	0	0	254	0	5
assemblage-488-381	6	414	0	7	8	0	0	12	0	0	0	6
assemblage-869-510	0	465	0	0	21	0	0	0	0	0	0	6
assemblage-532-222	0	425	0	15	28	0	0	2	11	0	0	10
assemblage-831-823	96	239	0	48	0	33	0	56	0	0	0	0
assemblage-428-409	0	0	14	0	0	0	0	0	0	442	0	6
assemblage-894-922	0	412	0	14	0	0	0	44	0	25	0	5
assemblage-504-675	0	37	0	0	458	0	0	0	0	0	0	5
assemblage-885-841	0	212	0	136	22	0	0	15	0	85	0	13
assemblage-843-805	105	231	0	60	0	23	0	65	0	0	0	3
assemblage-920-952	0	393	0	59	0	0	38	0	5	0	0	5
assemblage-163-101	0	279	0	8	108	0	0	13	0	57	32	3
assemblage-776-962	0	385	0	48	0	0	42	0	10	0	0	15
assemblage-987-763	0	289	0	26	43	0	0	23	21	81	9	8
assemblage-617-440	120	271	0	53	0	5	0	36	0	0	0	15
assemblage-573-213	102	333	0	30	0	0	0	18	0	0	0	17
assemblage-572-227	0	344	0	116	0	0	0	36	0	0	0	4
assemblage-754-596	11	395	0	5	11	0	0	13	0	0	0	8
assemblage-174-110	0	330	0	14	21	0	0	69	17	25	0	16
assemblage-828-162	0	322	0	84	38	0	0	0	0	40	0	16
assemblage-497-361	53	399	0	21	0	0	0	18	0	0	0	9
assemblage-585-782	0	387	0	54	0	0	48	0	4	0	0	7
assemblage-912-785	0	295	62	0	11	0	0	0	0	85	0	3
assemblage-868-649	0	319	56	22	32	0	0	21	0	39	0	11
assemblage-866-568	0	323	23	75	28	0	0	0	0	26	0	1
assemblage-711-781	0	417	0	6	4	0	0	51	0	18	0	4
assemblage-582-219	0	360	0	104	0	0	0	31	0	0	0	5
