Assemblage_Name	3-2296024-2	3227282-6136844-0	4335779-6136844-0	1-3-238461	1-3-3426224	7070894-3-0	3-3-2	3-9556433-2	0-0-1	8576247-3-0	1-6136844-3009163	1-3-0	7070894-6851436-0	3-4-0	1-6136844-0	1-0-0	1-659375-0	0-0-5690961	3-3-8874061	4335779-9498123-0	7070894-3-5189439
assemblage-698-780	0	0	0	0	0	85	68	0	0	0	0	223	0	0	107	0	0	0	0	0	5
assemblage-939-116	0	0	25	0	23	0	0	79	0	5	35	114	11	0	66	0	44	0	0	38	15
assemblage-505-367	0	0	10	0	0	78	9	109	0	0	0	67	15	0	176	0	0	0	0	0	22
assemblage-896-831	8	0	0	0	0	0	147	0	0	0	0	165	0	0	168	0	0	0	0	0	12
assemblage-885-841	12	0	0	0	0	0	127	0	0	0	0	169	0	0	170	0	0	0	0	0	14
assemblage-532-763	0	0	0	0	13	0	0	83	0	0	50	230	0	0	0	0	13	0	0	20	18
assemblage-507-779	0	8	0	0	14	0	0	90	0	0	57	47	0	0	45	0	50	0	0	159	30
assemblage-94-494	0	0	0	1	0	0	74	0	45	0	0	302	0	0	16	50	0	0	0	0	12
assemblage-502-373	0	0	11	0	0	76	0	140	0	0	0	81	21	0	123	0	0	0	0	0	30
assemblage-505-653	0	0	0	0	0	0	14	0	44	0	0	205	0	48	9	93	0	24	0	0	23
assemblage-842-827	0	27	0	0	0	0	0	154	0	0	31	188	0	0	90	0	0	0	0	0	10
assemblage-776-962	0	0	0	0	0	90	56	0	0	27	0	218	0	0	93	0	0	0	0	0	16
assemblage-771-953	0	0	0	0	0	0	113	0	0	0	0	169	0	0	197	0	0	0	0	0	15
assemblage-877-568	0	0	0	24	0	0	63	0	147	0	0	211	0	0	10	41	0	0	0	0	4
assemblage-857-558	0	0	0	5	0	0	77	0	50	0	0	247	0	0	28	61	0	10	0	0	22
assemblage-908-762	0	0	0	18	0	0	75	0	70	0	0	158	0	25	74	52	0	16	0	0	9
assemblage-573-213	0	0	33	0	28	0	0	106	0	0	51	81	6	0	49	0	32	0	0	41	24
assemblage-572-227	0	60	0	0	0	9	0	176	0	0	75	81	6	0	66	0	0	0	0	0	14
assemblage-180-470	0	0	0	46	0	0	0	0	164	0	0	184	0	18	5	29	0	16	0	0	25
assemblage-493-666	0	0	0	0	0	0	48	0	0	0	0	422	0	0	0	0	0	0	0	0	6
assemblage-585-782	0	0	0	0	0	82	57	0	0	27	0	180	0	0	138	0	0	0	0	0	13
assemblage-901-928	0	0	0	0	0	9	111	0	0	0	0	234	0	0	109	0	0	0	30	0	5
assemblage-920-795	0	53	0	0	0	108	13	9	0	13	0	161	0	0	79	0	0	0	0	0	15
assemblage-975-756	0	0	0	0	0	0	116	0	24	0	0	155	0	0	117	29	0	0	0	0	18
assemblage-936-773	0	0	0	0	0	0	0	0	66	0	0	177	0	85	0	86	0	70	0	0	12
assemblage-627-775	0	0	0	0	0	72	53	24	0	0	0	217	0	0	93	0	0	0	15	0	15
assemblage-843-512	0	0	0	6	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	6
assemblage-522-210	0	0	0	0	0	19	132	0	0	0	0	196	0	0	127	0	0	0	19	0	6
assemblage-664-969	0	0	0	0	0	0	108	0	23	0	0	157	0	0	131	26	0	0	0	0	16
assemblage-201-414	5	0	0	0	0	0	168	0	21	0	0	211	0	0	47	25	0	0	0	0	23
