Assemblage_Name	8086357-2-1	1134038-3046772-1143998	8110216-3046772-6408416	8422999-2-324412	0-1-4617085	8422999-2-1	3333724-3046772-6408416	0-1-2	2645079-3046772-6408416	2-2-9719765	7049264-1127183-4	8086357-8005490-1	7543768-9307584-1	6310450-3-4	2-3-4	1134038-8697760-1143998	2-2-1	9438159-4-1	9438159-4-9548715	111603-2-1	2-6784314-1	2-6787587-1	5783318-3046772-1143998	0-935270-6408416	0-3046772-6408416	4-0-4	9804581-4-1	4-1127183-4	0-3046772-1143998	4-1127183-7799160	5468747-4-1	2962792-2-1	9384359-4-1
assemblage-141-138	80	68	0	0	0	0	0	0	0	41	0	0	30	0	0	0	103	0	0	0	0	9	0	0	61	0	0	0	31	0	12	0	23
assemblage-671-963	26	0	0	0	0	5	0	0	0	0	0	0	0	0	15	0	168	0	0	0	0	0	0	0	80	0	0	12	6	0	160	0	16
assemblage-830-129	176	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	55	0	0	73	10	0	0	0	0	0	0	0	30	0	59	0	19
assemblage-632-438	0	0	21	0	0	0	0	0	0	24	0	74	0	0	0	101	47	0	0	0	0	138	0	34	8	0	13	0	0	0	0	0	26
assemblage-969-107	39	0	4	0	0	0	0	0	0	28	0	104	0	0	0	27	193	26	14	0	0	0	0	18	14	0	0	0	0	0	0	0	19
assemblage-505-367	127	0	0	0	0	0	0	0	15	6	0	81	0	0	0	34	12	54	20	0	0	0	0	0	74	0	26	0	0	0	0	15	36
assemblage-844-834	12	0	52	0	0	0	0	0	0	6	0	143	0	0	0	92	82	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	17
assemblage-901-846	76	15	0	0	0	0	0	0	0	0	0	0	0	0	45	0	71	0	0	0	0	0	0	0	137	0	0	0	54	0	70	0	12
assemblage-692-760	55	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	10	0	0	0	3	0	0	0	162	0	7	0	13
assemblage-923-779	6	0	0	0	0	30	0	37	0	0	0	0	0	0	67	0	59	0	0	0	0	0	0	0	60	0	0	7	46	0	135	0	22
assemblage-564-224	34	0	0	0	0	0	0	0	0	39	0	93	0	0	0	58	186	13	14	0	0	0	0	23	7	0	0	0	0	0	0	0	33
assemblage-94-494	12	0	0	17	0	27	27	0	0	0	15	0	0	10	145	0	76	0	0	0	0	0	0	0	7	0	0	46	0	10	88	0	10
assemblage-505-653	0	0	0	0	6	25	0	37	0	0	0	0	0	0	31	0	34	0	0	0	0	0	0	0	127	49	0	0	30	0	69	0	22
assemblage-905-929	197	0	0	0	0	0	0	0	60	0	0	6	0	0	0	0	40	0	0	0	0	0	0	0	75	0	0	0	0	0	53	0	28
assemblage-870-655	0	0	0	9	0	33	39	0	0	0	20	0	0	4	108	0	76	0	0	0	0	0	0	0	14	0	0	46	0	14	114	0	23
assemblage-859-499	0	0	0	0	29	0	0	109	0	0	0	0	0	0	170	0	0	0	0	0	0	0	7	0	62	0	0	0	119	0	0	0	4
assemblage-918-961	118	7	0	0	0	0	0	0	83	0	0	25	9	0	0	0	53	42	0	0	0	18	0	0	82	0	0	0	11	0	0	5	47
assemblage-928-765	0	0	0	0	0	6	18	0	0	0	0	0	0	0	113	0	121	0	0	0	0	0	0	0	41	16	0	62	0	0	83	0	20
assemblage-497-361	110	0	0	0	0	0	0	0	36	13	0	69	0	0	0	41	5	66	24	0	0	0	0	0	73	0	29	0	0	0	0	4	30
assemblage-945-378	52	0	65	0	0	0	0	0	21	19	0	47	7	0	0	33	68	16	7	0	0	28	0	0	51	0	9	0	0	0	0	8	34
assemblage-171-84	0	0	0	6	0	0	0	0	0	0	0	0	0	0	55	0	133	0	0	0	4	0	0	0	0	0	0	18	14	0	158	0	22
assemblage-595-777	110	43	7	0	0	0	0	0	9	71	0	2	10	0	0	19	25	60	10	0	0	9	0	0	18	0	0	0	66	0	7	0	10
assemblage-297-854	15	0	0	0	0	0	0	0	0	99	0	24	0	0	0	47	30	0	0	0	0	116	0	0	11	0	0	0	0	0	0	0	20
assemblage-877-553	5	0	0	24	0	18	30	0	0	0	16	0	0	7	114	0	76	0	0	10	0	0	0	0	6	0	0	59	0	11	103	0	21
assemblage-936-773	0	0	0	0	0	5	0	8	0	0	0	0	0	0	34	0	21	0	0	0	0	0	41	0	140	35	0	0	42	0	115	0	26
assemblage-627-775	128	9	0	0	0	0	0	0	81	0	0	28	32	0	0	0	45	38	0	0	0	17	0	0	75	0	0	0	13	0	0	0	25
assemblage-806-153	115	0	0	0	0	0	0	0	0	21	0	0	0	0	41	0	56	0	0	38	11	0	0	0	47	0	0	11	62	0	40	0	54
assemblage-582-219	70	0	4	0	0	0	0	0	0	22	0	100	0	0	0	43	162	15	15	0	0	0	0	15	13	0	0	0	0	0	0	0	32
assemblage-856-509	0	0	0	0	24	0	0	116	0	0	0	0	0	0	149	0	0	0	0	0	0	0	17	0	68	0	0	0	120	0	0	0	6
assemblage-201-413	30	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	160	0	0	0	0	0	0	0	115	0	0	8	13	0	120	0	15
