Assemblage_Name	2-3-7681903	2-3-2473934	2-3-7124495	2-3-4	2-3-1	6965384-3-7681903	6689126-6599327-2	2-2-2	2-3-2580928	2-3-7256801	5727286-3-1	4801864-2-2	2-3-9360172	2-3-756874	2-3819227-7296048
assemblage-752-988	65	0	0	0	348	48	0	0	0	0	24	0	0	0	15
assemblage-93-772	58	0	0	0	236	149	0	0	0	0	0	0	0	0	12
assemblage-863-648	61	0	0	0	248	0	0	74	0	0	0	0	0	33	19
assemblage-239-219	147	29	0	0	184	0	0	0	0	23	43	0	0	0	2
assemblage-274-943	5	20	0	0	370	0	0	32	0	0	26	8	0	0	18
assemblage-454-431	0	0	0	0	406	0	0	0	0	0	0	0	0	0	12
assemblage-532-222	15	0	0	0	387	32	0	0	0	3	42	0	0	0	11
assemblage-983-911	23	0	0	0	398	0	0	0	54	0	0	0	0	0	15
assemblage-601-779	85	0	0	0	299	5	0	0	0	0	0	0	36	0	5
assemblage-978-756	7	88	19	0	345	0	0	0	0	16	9	5	0	0	11
assemblage-206-394	11	105	19	0	308	0	0	0	0	20	10	8	0	0	19
assemblage-156-102	15	41	14	0	319	0	0	17	0	0	46	38	0	0	10
assemblage-199-476	66	0	0	0	245	0	0	98	0	0	0	61	0	0	14
assemblage-532-763	15	0	0	0	361	107	0	0	0	0	0	0	0	0	8
assemblage-94-494	34	0	0	0	338	0	11	73	0	0	0	0	0	32	12
assemblage-300-862	0	0	0	0	378	26	0	0	0	0	0	0	0	0	18
assemblage-876-927	169	0	0	0	281	0	0	0	0	8	5	0	0	0	14
assemblage-905-929	72	0	0	0	342	15	0	0	0	6	53	0	0	0	8
assemblage-918-961	32	0	0	0	400	47	0	0	0	0	9	0	0	0	12
assemblage-754-596	0	0	0	0	285	179	0	0	0	0	0	0	22	0	10
assemblage-243-239	117	32	0	0	266	0	0	0	0	0	76	0	0	0	9
assemblage-116-774	81	0	0	0	229	152	0	0	0	0	0	0	0	0	12
assemblage-496-654	0	0	0	213	0	0	0	191	0	0	0	43	0	0	4
assemblage-397-779	52	0	0	16	97	0	59	160	74	0	0	0	0	21	17
assemblage-297-854	81	0	0	0	319	77	0	0	0	0	0	0	0	0	12
assemblage-905-835	62	0	0	0	403	21	0	0	0	6	0	0	0	0	8
assemblage-948-371	69	0	0	0	318	70	0	0	0	0	0	0	31	0	12
assemblage-390-801	38	0	0	10	124	0	62	169	65	0	0	0	0	18	14
assemblage-515-363	33	0	0	0	399	62	0	0	0	0	0	0	0	0	6
assemblage-114-780	77	0	0	0	208	166	0	0	0	0	0	0	0	0	15
