Assemblage_Name	4-1-0	1008488-1-0	4-3-9439170	4-9971134-3	2-1574203-2	4-4-3	2-1-2	4-3-2	4-3504225-2
assemblage-671-963	0	8	0	0	93	251	41	106	1
assemblage-830-129	0	0	0	0	16	371	0	77	12
assemblage-871-116	0	0	0	38	52	198	0	199	13
assemblage-239-219	0	89	0	53	89	164	0	92	13
assemblage-969-107	0	0	83	0	0	174	0	241	2
assemblage-532-222	0	10	0	24	67	145	0	253	1
assemblage-937-805	0	0	4	0	18	246	0	230	2
assemblage-564-226	0	0	77	0	0	182	0	238	3
assemblage-963-905	335	0	0	0	0	0	130	0	6
assemblage-271-845	0	0	53	0	0	253	0	186	2
assemblage-920-952	0	0	0	7	41	309	0	139	4
assemblage-172-461	22	151	0	0	34	0	38	210	9
assemblage-847-825	0	0	47	0	0	235	0	207	3
assemblage-207-398	31	12	0	0	136	206	0	84	8
assemblage-572-227	0	0	70	0	0	173	0	251	6
assemblage-289-864	0	0	71	0	0	263	0	158	8
assemblage-180-470	106	87	0	0	43	128	19	114	3
assemblage-831-161	38	0	0	0	169	144	0	141	8
assemblage-928-796	0	0	45	0	31	249	0	165	10
assemblage-863-503	0	0	0	0	0	237	0	216	3
assemblage-947-379	0	0	20	0	15	266	0	195	4
assemblage-661-958	16	28	0	0	80	107	59	196	2
assemblage-877-553	93	153	0	0	0	187	0	58	9
assemblage-885-931	0	0	0	20	72	142	0	249	17
assemblage-866-568	18	37	0	0	174	220	0	42	9
assemblage-131-161	0	14	0	28	48	132	0	264	7
assemblage-419-440	27	96	0	0	106	0	255	0	2
assemblage-866-95	0	0	0	0	17	248	0	198	1
assemblage-390-801	114	73	0	0	28	152	27	96	10
assemblage-877-571	61	81	0	0	10	122	22	193	6
