Assemblage_Name	8207221-0-3	4-4887562-3947889	7831614-8244056-3	4-4887562-5957414	7108486-4103517-6304594	8207221-0-2948167	4-4887562-2739262	0-4103517-6304594	9501243-7744247-3	2502173-4103517-6304594	879879-0-4449125	4-2470249-445476	4137383-0-3	4-9439250-1	9501243-0-3	9501243-0-3009404	8207221-9375265-3	4-4887562-7164720	7831614-0-3	4-7487339-1	4-4-0	2502173-5608888-5141597	4-2592034-7164720	9896514-5608888-5141597
assemblage-871-116	24	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	9	136	28	92	0	150	0	24
assemblage-177-111	103	0	0	0	0	0	44	197	0	27	0	0	0	0	95	0	0	0	0	8	0	0	0	19
assemblage-521-793	94	70	2	0	0	0	0	0	27	9	0	0	0	0	0	0	22	239	0	0	0	0	6	18
assemblage-777-970	73	0	34	0	0	0	0	0	0	106	0	0	32	0	32	0	79	54	10	14	0	42	0	14
assemblage-902-848	37	0	22	0	0	0	9	67	0	9	0	54	0	0	61	0	0	77	63	12	0	0	0	20
assemblage-249-243	76	0	0	9	0	0	21	23	0	11	0	24	0	0	146	7	0	67	0	37	0	42	0	12
assemblage-963-933	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	14
assemblage-958-854	276	0	0	0	0	63	79	12	0	0	0	0	0	0	2	0	0	0	0	0	41	0	0	11
assemblage-894-922	47	0	0	0	0	0	0	22	0	0	31	0	0	0	156	7	0	131	4	14	0	56	0	32
assemblage-692-760	35	0	0	0	0	0	7	27	0	0	27	0	0	0	136	4	0	150	3	11	0	78	0	22
assemblage-156-102	276	0	0	21	0	0	64	27	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	18
assemblage-885-841	18	0	0	0	0	0	19	190	0	30	0	13	0	0	35	0	0	83	0	8	0	0	0	25
assemblage-124-770	66	0	27	0	31	0	0	0	12	133	0	0	4	0	0	0	31	96	0	6	0	76	0	18
assemblage-300-862	114	9	10	0	0	0	0	0	0	73	0	0	0	0	0	0	0	156	0	0	0	33	70	35
assemblage-567-217	18	0	19	0	0	0	0	0	0	74	0	0	0	0	0	0	87	147	0	67	0	16	34	19
assemblage-523-779	114	6	18	0	22	0	0	0	38	111	0	0	0	0	0	0	22	111	0	0	0	33	0	7
assemblage-877-569	104	0	0	0	0	0	79	121	0	0	0	72	0	54	0	0	0	0	0	25	14	0	0	18
assemblage-857-558	144	0	0	0	0	25	127	59	0	0	0	43	0	33	23	0	0	0	0	5	15	0	0	21
assemblage-918-961	84	0	34	0	0	0	0	0	0	102	0	0	33	0	19	0	67	54	0	14	0	54	0	17
assemblage-572-227	118	29	8	0	0	0	0	0	63	13	0	0	0	0	0	0	14	153	0	0	0	61	0	12
assemblage-754-596	101	0	55	0	0	0	0	0	0	38	0	0	43	0	0	0	69	44	12	110	0	22	0	6
assemblage-408-809	60	0	0	0	0	0	195	60	0	0	0	0	0	32	38	0	0	0	0	0	91	0	0	18
assemblage-767-570	83	0	40	0	0	0	0	0	0	28	0	0	53	0	0	0	87	47	8	121	0	24	0	9
assemblage-503-216	17	0	0	0	0	0	0	16	0	0	24	0	0	0	27	0	0	121	14	89	0	154	0	18
assemblage-444-418	0	0	0	0	0	0	247	80	0	0	0	4	0	0	0	0	0	0	0	0	86	0	0	6
assemblage-920-795	93	0	0	0	15	0	0	0	0	23	0	0	0	0	0	0	35	110	9	118	0	72	0	13
assemblage-965-927	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	15
assemblage-199-466	276	0	0	0	0	56	82	15	0	0	0	0	0	0	10	0	0	0	0	0	29	0	0	18
assemblage-877-571	108	0	0	0	0	0	85	122	0	0	0	67	0	64	0	0	0	0	0	15	20	0	0	13
assemblage-201-413	301	0	0	26	0	0	56	41	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	20
