Assemblage_Name	3-3-3	0-4-4	3-3-5590698	3-3187731-3	2-2-2	7983895-3-3	1-2-0	1-2-3	3-1229681-3	3726807-2-3
assemblage-863-648	38	72	0	0	250	0	127	7	0	6
assemblage-274-943	31	60	0	0	267	0	21	118	0	3
assemblage-104-483	201	12	0	31	102	0	0	145	0	4
assemblage-969-107	118	0	0	74	244	5	0	19	37	3
assemblage-89-798	125	0	52	13	128	34	0	120	5	7
assemblage-968-844	142	12	0	0	165	0	152	20	0	4
assemblage-902-848	160	0	0	6	234	0	20	77	0	3
assemblage-488-381	196	0	0	0	159	30	0	110	0	5
assemblage-134-140	71	0	0	4	379	0	41	0	0	5
assemblage-428-409	279	0	0	0	0	0	221	0	0	0
assemblage-692-760	194	0	0	85	151	0	7	61	0	2
assemblage-885-841	254	0	0	17	187	0	14	9	0	19
assemblage-843-805	48	0	0	35	152	0	0	145	104	16
assemblage-974-919	279	217	0	0	0	0	0	0	0	4
assemblage-902-934	79	0	0	0	399	0	0	18	0	3
assemblage-522-758	50	0	0	25	169	0	0	135	110	6
assemblage-847-825	121	0	10	13	210	0	0	78	26	9
assemblage-375-787	181	21	0	0	168	0	36	89	0	5
assemblage-918-961	195	0	0	12	252	0	0	41	0	0
assemblage-572-224	136	0	26	29	191	0	0	112	0	6
assemblage-176-91	34	0	0	0	199	0	179	79	0	9
assemblage-497-361	186	0	0	13	207	0	0	82	0	5
assemblage-906-831	65	0	0	0	407	0	11	14	0	3
assemblage-751-589	143	0	0	56	237	0	0	49	0	7
assemblage-924-941	49	0	0	42	338	0	5	6	0	2
assemblage-186-430	56	0	0	0	199	0	156	76	0	13
assemblage-390-801	184	0	0	0	164	0	124	23	0	5
assemblage-856-509	0	0	0	0	333	0	0	144	0	0
assemblage-768-990	169	0	0	0	289	0	0	37	0	5
assemblage-201-414	149	0	0	42	218	0	50	28	0	3
