Assemblage_Name	3-1423406-1	1-1-9420313	6707198-1429155-4	2-9634874-1	3-3-4	1-1-4	1-2738701-4	8510096-2738701-4	3-3680828-1	572395-1-4	4234597-1-1	6707198-2560203-4	2-4-1	3-0-1	6707198-1-4	6707198-1429155-8776825	2654469-4-1	2-1-1	3-1300398-1	1-2738701-4357986
assemblage-93-772	0	0	0	0	0	0	22	0	67	0	0	0	7	297	0	87	0	0	0	20
assemblage-943-371	0	0	5	0	0	0	77	0	47	0	0	4	48	267	0	37	0	0	0	15
assemblage-863-648	0	0	0	14	0	38	0	0	0	81	0	0	155	74	0	0	29	73	0	17
assemblage-89-798	0	0	0	0	0	0	22	0	68	0	0	0	8	266	0	110	0	0	0	26
assemblage-687-960	0	108	0	0	0	28	9	7	0	8	0	0	85	193	8	0	0	0	0	17
assemblage-899-926	0	56	10	0	0	0	10	0	119	0	0	48	117	98	0	0	0	0	0	13
assemblage-931-759	0	45	0	0	6	112	0	0	0	0	35	0	49	3	0	0	137	102	0	11
assemblage-964-845	0	48	0	0	0	78	14	0	0	0	41	0	63	6	0	0	132	104	0	14
assemblage-254-259	0	60	64	0	0	0	0	0	8	18	0	47	106	173	0	0	0	0	0	24
assemblage-255-237	25	174	0	0	0	0	0	0	0	64	0	18	67	119	13	0	4	0	0	16
assemblage-672-954	0	122	0	0	0	23	4	9	0	3	0	0	99	174	12	0	0	0	0	16
assemblage-963-905	0	0	0	0	24	123	0	0	0	0	0	0	0	47	0	0	0	293	0	13
assemblage-271-845	0	0	0	0	0	0	122	0	68	0	0	0	0	257	0	38	0	0	0	5
assemblage-604-759	0	10	0	0	0	0	0	0	61	0	0	46	0	327	0	0	0	0	3	18
assemblage-859-100	0	0	119	0	0	0	0	0	16	0	0	0	41	295	0	0	0	0	0	14
assemblage-937-796	0	0	102	0	0	0	12	0	50	0	0	0	0	309	0	0	0	0	13	9
assemblage-859-499	0	0	0	98	0	0	0	0	0	0	0	0	99	0	0	0	273	0	0	9
assemblage-207-398	0	14	0	43	0	74	61	0	13	50	0	47	32	68	35	0	16	10	0	8
assemblage-108-487	0	0	0	0	0	35	61	15	0	18	10	0	79	133	25	0	36	7	0	12
assemblage-698-797	3	0	37	0	0	0	66	0	67	0	0	20	23	229	0	0	0	0	0	18
assemblage-928-796	0	0	0	0	0	0	17	0	169	0	0	0	0	243	0	0	0	0	38	15
assemblage-287-849	0	0	0	0	0	0	42	0	38	0	0	0	34	213	0	90	0	0	0	7
assemblage-297-854	0	0	0	0	0	0	153	0	66	0	0	0	0	242	0	25	0	0	0	4
assemblage-926-782	0	48	0	0	7	86	0	0	0	0	33	0	50	9	0	0	139	109	0	19
assemblage-125-165	7	40	7	0	0	0	0	0	8	33	0	49	53	288	0	0	0	0	0	2
assemblage-922-961	0	57	0	0	0	0	0	0	14	0	0	32	66	294	0	0	0	0	0	10
assemblage-843-512	0	0	0	90	0	0	0	0	0	0	0	0	122	0	0	0	256	0	0	10
assemblage-746-290	0	0	0	0	0	0	24	0	89	0	0	0	42	212	0	123	0	0	0	10
assemblage-862-661	0	4	0	42	0	9	12	41	0	18	0	0	62	124	0	0	114	39	0	12
assemblage-777-950	0	24	0	9	0	10	67	0	95	18	0	73	100	84	0	0	0	0	0	20
