Assemblage_Name	8012547-3-2	7857976-3126777-0	3729081-5882793-0	2-3128058-3	6364987-3-2	2-3-1	2-3-2	2-2040811-3	1-241641-2	3-5882793-0	3-5882793-3121813	1851491-3-2	2-4-4	4500442-5882793-0	4-1-7614362	3-3126777-0	2-3-1055526	2-1-3	3-435558-0	1624505-5103318-4	2-2040811-6768573
assemblage-830-129	18	0	0	0	0	0	135	15	26	36	0	0	0	0	28	0	0	119	107	0	16
assemblage-274-943	31	0	0	16	0	14	95	0	32	112	0	0	0	0	109	0	0	66	0	0	7
assemblage-104-483	0	0	0	0	0	0	75	61	15	68	0	29	0	0	65	0	13	122	0	33	11
assemblage-692-760	33	0	0	0	0	0	185	0	46	140	0	0	0	0	0	0	0	68	18	0	10
assemblage-843-805	27	0	33	0	174	0	27	0	0	35	8	0	0	12	0	16	0	133	0	0	14
assemblage-564-224	26	13	8	0	97	0	94	36	0	60	5	0	0	0	0	68	0	72	0	0	9
assemblage-928-943	45	0	0	0	0	0	194	0	0	54	9	0	0	0	0	16	0	168	0	0	14
assemblage-505-653	0	0	0	0	0	48	48	8	76	124	0	0	28	0	32	0	0	68	0	0	15
assemblage-959-848	0	0	0	0	0	37	6	52	137	61	0	0	77	0	58	0	0	36	0	0	6
assemblage-505-214	36	0	0	0	0	0	181	46	9	104	0	0	0	0	0	0	0	94	4	0	3
assemblage-964-125	45	0	0	0	20	0	83	39	0	10	0	0	0	0	0	130	0	119	0	0	7
assemblage-176-112	89	0	0	29	0	0	62	22	179	20	0	0	0	0	33	0	19	22	0	0	11
assemblage-956-115	25	9	0	0	109	0	66	40	0	56	0	0	0	0	0	82	0	76	0	0	16
assemblage-767-570	11	0	0	0	0	0	158	38	24	5	39	0	0	0	0	34	0	85	0	0	19
assemblage-176-91	105	0	0	17	0	0	66	16	166	34	0	0	0	0	39	0	15	18	0	0	9
assemblage-297-850	66	6	6	0	19	0	43	0	0	188	0	0	0	12	0	129	0	21	0	0	10
assemblage-292-849	67	13	8	0	27	0	39	0	0	174	0	0	0	7	0	139	0	21	0	0	5
assemblage-990-752	9	0	0	0	0	0	96	63	0	85	0	13	0	0	13	0	25	182	0	2	9
assemblage-781-955	35	0	0	0	0	0	150	6	38	26	0	0	0	0	22	0	0	110	104	0	9
assemblage-906-831	78	0	0	0	0	0	137	0	14	202	0	0	0	0	0	0	0	0	33	13	12
assemblage-436-415	0	0	0	0	0	0	152	0	22	0	0	0	0	0	129	0	0	144	0	0	2
assemblage-703-781	23	0	0	0	0	0	196	23	0	199	30	0	0	0	0	0	0	9	7	0	13
assemblage-920-795	123	0	16	0	0	0	73	10	7	51	0	0	0	0	0	25	0	95	0	0	31
assemblage-947-379	119	0	13	0	0	0	91	22	5	59	0	0	0	0	0	27	0	64	0	0	26
assemblage-195-455	0	0	0	25	0	0	16	0	118	128	0	0	51	0	14	0	0	74	0	3	16
assemblage-936-773	0	0	0	0	0	39	4	54	136	82	0	0	68	0	54	0	0	30	0	0	6
assemblage-627-775	76	0	0	0	0	0	190	35	47	62	0	0	0	0	0	42	0	39	0	0	9
assemblage-266-940	0	0	0	0	0	0	69	60	26	70	0	19	0	0	86	0	7	108	0	35	7
assemblage-866-95	24	0	0	0	0	0	113	16	18	139	115	0	0	0	0	0	0	68	0	0	7
assemblage-843-512	0	0	0	0	0	198	0	0	0	139	0	0	0	0	0	0	0	0	0	0	7
