Assemblage_Name	8517980-4614004-4	4-2-2910112	1-0-0	0-1-4848987	0-1-0	3025200-2-4	1-0-4327374	4-1241383-1513211	2262854-2-4	0-2234079-3	9469141-1-0	4-2-4	9295769-2-4	4-2-1513211	4-9473306-7095506	4-1-7095506	8517980-6454550-4	0-6768471-0
assemblage-829-151	55	0	25	0	159	0	0	0	0	0	17	173	64	0	0	0	0	7
assemblage-603-766	84	0	1	0	115	0	0	0	0	0	38	93	55	64	0	0	15	24
assemblage-249-243	172	0	7	0	79	30	0	0	39	0	0	147	19	0	0	0	0	7
assemblage-902-948	12	0	57	0	245	17	0	0	0	0	9	78	0	53	0	0	0	21
assemblage-731-315	0	52	0	0	218	0	0	37	0	0	26	141	11	0	0	0	0	15
assemblage-978-756	160	0	24	0	48	0	0	0	19	0	0	71	147	0	0	28	0	3
assemblage-843-802	0	0	27	0	256	0	0	0	0	0	3	186	0	0	0	0	0	14
assemblage-752-974	0	0	0	0	242	68	0	0	0	0	70	100	0	0	0	0	0	13
assemblage-974-919	0	0	282	0	80	0	7	0	0	45	0	0	0	0	0	0	0	2
assemblage-399-803	0	0	58	0	61	0	33	0	62	68	0	143	40	0	9	11	0	15
assemblage-522-758	0	0	17	0	255	0	0	0	0	0	7	215	0	0	0	0	0	4
assemblage-752-302	0	51	0	0	235	0	0	35	0	0	24	121	12	0	0	0	0	22
assemblage-870-655	120	0	7	0	62	0	0	0	0	19	0	267	0	0	0	7	0	18
assemblage-541-768	0	0	14	0	184	0	0	0	0	0	0	293	0	0	0	0	0	4
assemblage-908-762	0	0	54	0	63	0	38	0	58	51	0	169	38	0	15	6	0	8
assemblage-572-227	0	0	0	7	113	0	0	8	0	0	0	327	26	0	0	0	0	15
assemblage-754-596	0	0	87	12	165	0	0	0	0	0	0	106	14	9	0	0	0	14
assemblage-897-916	0	0	4	0	281	0	0	0	18	0	52	103	0	0	0	7	24	11
assemblage-130-147	0	0	0	0	254	0	0	0	20	0	44	101	0	0	0	21	39	21
assemblage-497-361	4	0	12	6	177	0	0	74	0	0	20	130	36	24	0	0	0	7
assemblage-941-790	15	23	11	38	199	0	0	0	0	0	50	123	4	27	0	0	0	10
assemblage-863-503	0	0	0	0	0	0	0	0	5	0	0	421	9	0	0	0	0	6
assemblage-486-677	136	0	0	0	0	0	0	0	0	0	0	89	266	0	0	0	0	9
assemblage-868-649	68	0	84	0	50	0	0	0	67	9	0	92	99	0	0	0	0	16
assemblage-983-757	133	0	69	0	141	0	0	0	101	0	0	14	15	0	0	22	0	5
assemblage-131-161	56	0	0	0	64	89	0	0	8	0	49	86	94	0	0	18	0	4
assemblage-245-235	45	0	0	0	213	0	0	0	0	0	0	208	25	0	0	0	0	9
assemblage-874-653	99	0	47	0	244	0	9	0	0	13	0	58	0	0	0	24	0	6
assemblage-390-801	0	0	14	0	81	0	10	0	10	21	0	227	24	0	25	66	0	9
assemblage-201-414	117	0	75	0	143	0	0	0	121	0	0	18	11	0	0	9	0	6
