Assemblage_Name	4524411-0-6680989	4524411-8995775-2	4524411-9600282-5131582	4524411-9600282-2634413	4-1236618-5887373	2-0-8195150	0-0-2758108	4-2-2039046	0-0-2960718	4524411-9600282-2	4-1236618-3437874	4524411-4037530-2	4524411-0-2	9948425-0-2758108	2976033-0-2758108	2-0-4	5959394-1499570-2	1-2-2	4-1499570-2	8800818-0-6173304	9762768-9600282-2	7353762-9600282-2	0-1444074-2758108	1-2915483-3	4-2-1	0-6579215-2758108	4524411-9600282-868592	1-0-3	4680550-0-4	6292062-1499570-2	4-0-2	8538479-3930954-3	0-0-155240	1242777-0-2960718
assemblage-224-414	0	0	0	0	0	0	222	0	0	32	68	0	68	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	25
assemblage-909-174	0	0	0	0	0	0	216	0	0	26	75	0	76	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	18
assemblage-837-802	0	0	0	0	0	0	68	71	0	10	0	0	36	0	0	0	0	50	12	0	0	0	41	51	17	0	0	16	5	65	0	22	14	8
assemblage-435-763	0	0	0	0	0	0	83	0	0	143	0	0	119	0	0	0	64	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	0	18
assemblage-410-115	0	0	0	0	18	0	106	0	0	134	28	0	105	0	0	0	62	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-1008-722	0	0	0	0	0	0	104	0	0	171	0	0	104	0	0	0	4	0	0	0	0	0	41	0	0	0	24	0	0	0	0	0	0	20
assemblage-373-179	0	0	0	0	0	0	55	0	0	52	0	0	91	0	0	0	0	0	18	0	0	0	94	0	0	1	0	0	0	63	23	0	27	26
assemblage-787-755	0	0	0	7	0	0	160	0	0	41	0	0	126	0	52	0	0	0	0	19	0	0	65	0	0	0	0	0	0	0	0	0	0	25
assemblage-588-284	0	0	0	0	0	0	163	0	8	146	0	14	9	0	70	0	0	0	0	13	16	26	10	0	0	0	0	0	0	0	0	0	0	14
assemblage-375-849	0	0	0	11	0	0	240	0	0	113	0	9	8	0	9	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	0	15
assemblage-751-631	8	5	45	0	0	0	0	0	0	41	0	0	119	0	131	0	0	0	0	0	0	39	36	0	0	0	0	0	0	0	0	0	0	13
assemblage-786-478	0	39	34	54	0	0	28	0	0	46	0	0	101	0	0	0	0	0	0	0	0	29	117	0	0	0	0	0	0	0	0	0	0	30
assemblage-396-413	0	0	0	0	29	0	143	0	0	90	33	0	138	0	0	0	8	18	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	4
assemblage-729-265	0	0	0	0	0	0	89	36	0	0	17	0	57	0	0	6	0	37	32	0	0	0	9	18	14	18	0	26	20	28	9	12	39	33
assemblage-243-260	0	0	0	0	0	0	165	0	7	131	0	39	2	0	49	0	0	0	0	13	25	36	8	0	0	0	0	0	0	0	0	0	0	12
assemblage-794-418	0	0	11	0	0	0	111	0	0	201	0	0	44	16	7	0	0	0	0	29	14	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-787-428	0	0	9	0	0	0	103	0	0	279	0	0	84	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-825-948	0	0	0	0	0	25	159	0	0	0	0	0	0	0	0	63	0	98	6	0	0	0	0	0	0	0	0	0	20	0	0	0	102	21
assemblage-106-537	0	0	0	7	0	0	144	0	0	40	0	0	112	0	96	0	0	0	0	15	0	0	67	0	0	0	0	0	0	0	0	0	0	16
assemblage-832-957	0	0	0	0	0	24	152	0	0	0	0	0	0	0	0	76	0	93	0	0	0	0	0	0	0	0	0	0	30	0	0	0	84	17
assemblage-956-316	0	0	0	0	0	0	162	0	0	0	37	0	0	0	0	0	0	0	59	0	0	0	0	0	34	0	0	0	60	89	0	40	4	7
assemblage-972-268	0	0	41	0	0	0	17	0	65	89	32	0	49	16	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	24
assemblage-903-174	0	0	0	0	0	0	30	0	0	272	0	0	122	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	11	17
assemblage-443-195	0	0	0	0	0	0	104	0	17	127	41	0	58	0	0	0	33	0	0	0	0	0	14	0	0	0	8	0	0	11	0	0	0	23
assemblage-860-803	0	0	0	0	0	18	117	0	0	0	0	0	62	0	0	0	0	9	28	0	0	0	0	9	19	68	0	42	0	0	0	19	60	18
assemblage-386-420	0	0	0	0	18	0	109	0	0	162	37	0	89	0	0	0	13	20	0	0	0	0	11	0	0	0	17	0	0	5	0	0	0	19
assemblage-476-875	0	0	0	0	0	0	160	7	0	126	23	0	6	0	0	0	0	23	6	0	0	0	24	9	0	0	0	0	7	71	5	0	0	8
assemblage-428-665	14	7	0	0	0	0	197	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	25
assemblage-495-501	0	0	0	0	0	0	86	14	0	0	54	0	0	0	0	0	0	27	0	0	0	0	51	89	0	0	0	9	30	92	5	0	8	20
assemblage-801-129	15	6	0	0	0	0	212	0	0	0	0	0	50	0	7	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	19
