Assemblage_Name	1-845358-1	1810236-6667613-1	1810236-6667613-3461086	4383084-3-9333792	2-1-1	1810236-0-4072026	4838719-3-9333792	1-601795-4	1810236-0-1	903819-0-1	6454760-1-1	1-5380715-1	7365535-601795-4	4628391-0-1	5532809-0-1	1321396-3-9333792	5451366-845358-1	1-4-4	1-9565280-1	1810236-396030-1	4885247-3-5411368	1-0-1	1-5964087-1	1-4596107-1	4885247-2051039-5411368	4838719-3-4	4885247-1834658-5411368
assemblage-515-704	11	0	0	0	0	0	5	8	324	0	0	0	0	0	0	0	0	0	0	8	20	70	0	0	0	7	21
assemblage-688-589	0	0	0	0	0	0	0	89	88	0	0	0	7	0	0	18	0	0	0	0	28	157	0	7	0	15	26
assemblage-389-888	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	23	0	29	29	0	63	109	0	35	0	157	16
assemblage-516-349	0	0	0	0	0	0	0	0	13	0	43	0	0	0	0	0	0	123	0	0	0	100	0	0	0	187	11
assemblage-262-886	24	0	0	0	0	0	13	14	195	0	0	0	18	0	0	0	0	0	0	0	29	109	0	0	11	64	14
assemblage-281-720	7	78	15	0	0	0	0	0	119	53	0	34	0	17	0	0	0	0	0	48	0	115	0	0	0	0	14
assemblage-427-192	15	0	0	0	0	0	11	11	268	0	0	0	0	0	0	0	0	0	0	3	16	104	0	0	0	6	16
assemblage-667-575	0	0	0	6	0	0	48	25	41	0	0	0	0	0	0	23	0	58	0	0	61	86	0	17	0	119	12
assemblage-917-785	7	0	0	0	0	4	0	0	166	8	0	0	0	0	0	0	21	0	0	122	0	76	48	0	0	0	14
assemblage-787-755	143	0	0	0	0	0	0	0	104	0	0	0	0	0	4	0	1	0	0	117	0	51	0	0	0	0	18
assemblage-526-705	0	0	0	0	0	0	63	0	121	0	0	17	23	0	0	0	0	0	0	0	8	122	11	19	5	99	12
assemblage-812-136	10	0	0	0	0	7	0	0	156	7	0	0	0	0	0	0	34	0	0	115	0	101	36	0	0	0	7
assemblage-252-252	25	52	37	0	0	0	12	0	138	7	0	0	0	0	0	0	0	0	0	89	0	104	0	7	0	0	18
assemblage-784-763	19	0	0	0	0	22	0	0	99	147	0	0	0	0	0	0	0	0	0	79	0	12	85	0	0	0	30
assemblage-187-516	30	43	0	0	0	0	0	0	124	78	0	0	0	0	52	0	0	0	0	80	0	16	43	0	0	0	19
assemblage-380-183	0	0	0	0	0	0	30	0	17	0	25	0	0	0	0	43	0	73	5	0	11	204	0	0	0	68	13
assemblage-488-508	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	72	0	0	15	105	0	0	0	277	9
assemblage-917-808	126	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	235	0	0	42	0	0	0	30
assemblage-955-304	0	0	0	0	43	0	0	0	20	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	317	16
assemblage-791-421	57	7	0	0	0	0	59	0	178	0	0	4	0	13	13	0	0	0	0	0	0	45	0	8	0	65	9
assemblage-172-503	100	28	0	0	0	0	7	0	230	11	0	0	0	0	19	0	0	0	0	34	0	33	0	0	0	0	15
assemblage-277-258	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	25	10
assemblage-375-188	0	0	0	0	0	0	6	12	37	0	11	0	0	0	0	10	0	64	10	0	45	155	0	3	0	105	16
assemblage-527-662	0	0	0	0	12	0	0	0	69	0	0	0	0	0	0	0	0	139	0	0	23	103	0	0	0	75	34
assemblage-521-357	0	0	0	0	24	0	0	0	28	0	0	0	0	0	0	0	0	118	0	0	9	77	0	0	0	212	14
assemblage-805-423	13	60	21	0	0	0	0	0	123	34	0	38	0	7	0	0	0	0	0	76	0	113	0	0	0	0	15
assemblage-420-142	0	0	0	9	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	31	244	0	12	40	56	28
assemblage-121-962	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	35	0	0	0	199	0	0	0	127	9
assemblage-412-413	0	0	0	12	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	0	40	231	0	27	50	63	19
assemblage-695-686	154	0	0	0	0	0	0	0	105	3	0	0	0	0	4	0	5	0	0	116	0	50	0	0	0	0	19
