Assemblage_Name	4-4-3278956	4-1715230-6102760	1-7504845-2	4563075-4-2	1-1-4	7677505-4754113-2	8668244-4509068-3278956	4-4-1	9671556-4-6926359	7677505-4-2	878546-4-2	4082221-3749490-1	6366785-0-0	4082221-4154453-1	1-7504845-508717	6432792-4-1	3-0-2765517	878546-4-6926359	1-1-1412722	3-0-0	4082221-4-1	4-4-2	8238265-0-0
assemblage-796-465	0	0	0	0	0	0	0	0	0	74	0	8	0	0	0	0	0	0	0	0	339	0	15
assemblage-224-414	0	33	25	55	0	0	26	131	6	0	32	0	0	0	0	0	0	0	0	49	117	0	26
assemblage-278-731	0	0	0	0	0	0	0	18	0	115	0	0	0	0	0	0	0	0	0	0	323	0	9
assemblage-435-763	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	38	0	0	0	5	351	0	21
assemblage-281-720	0	0	0	0	0	31	0	0	0	4	0	0	0	0	0	13	0	0	0	0	422	0	13
assemblage-599-278	0	0	0	0	0	26	0	5	0	22	0	35	0	66	0	0	0	0	0	0	292	0	13
assemblage-667-575	0	28	0	11	7	0	4	50	6	0	54	0	0	0	5	0	0	0	5	116	187	0	10
assemblage-917-785	0	0	0	0	0	0	0	0	0	159	0	0	0	54	0	0	0	0	0	0	140	0	22
assemblage-821-743	0	0	0	0	0	0	0	0	0	61	0	14	0	0	0	0	0	0	0	0	378	0	20
assemblage-432-775	0	0	0	16	0	0	0	101	0	133	0	0	15	0	0	0	0	0	0	0	228	0	7
assemblage-511-700	0	0	0	0	0	0	0	72	0	137	0	0	12	0	0	0	0	0	0	4	260	0	15
assemblage-818-106	0	0	0	0	0	0	0	0	0	70	0	0	0	4	0	0	0	0	0	0	324	0	5
assemblage-252-252	0	0	0	0	0	33	0	0	0	7	0	0	0	0	0	0	0	0	0	0	384	0	26
assemblage-262-911	0	0	0	35	0	0	0	164	0	0	0	0	38	0	0	0	0	0	0	20	222	0	21
assemblage-974-263	0	0	0	0	0	0	0	82	0	31	0	18	0	0	0	8	0	0	0	0	317	0	12
assemblage-355-837	0	0	0	0	0	77	0	0	0	19	0	0	0	0	0	0	0	0	0	0	390	0	14
assemblage-520-365	28	37	33	0	90	0	0	81	0	0	66	0	0	0	5	0	2	31	0	53	39	13	22
assemblage-244-910	0	0	0	35	0	0	0	12	0	80	30	0	0	0	0	0	0	0	0	97	239	0	7
assemblage-825-948	194	6	9	0	40	0	0	148	0	0	0	0	0	0	8	0	48	0	0	0	0	0	25
assemblage-959-327	18	84	13	0	0	0	0	43	0	0	109	0	0	0	0	0	29	109	0	33	7	33	15
assemblage-917-808	0	0	0	0	0	9	0	0	0	85	0	0	0	7	0	0	0	0	0	0	344	0	10
assemblage-527-667	116	15	26	0	4	0	0	148	0	0	6	0	0	0	0	0	47	0	0	49	10	3	15
assemblage-956-316	20	89	22	0	0	0	0	44	0	0	104	0	0	0	0	0	18	117	0	17	5	41	17
assemblage-803-471	0	0	0	0	0	0	0	0	0	80	0	54	0	20	0	0	0	0	0	0	244	0	10
assemblage-701-261	112	11	28	0	6	0	0	173	0	0	6	0	0	0	0	0	52	4	0	35	11	0	9
assemblage-376-184	17	80	0	0	4	0	20	111	37	0	0	0	0	0	45	0	0	0	34	102	0	0	30
assemblage-210-392	0	7	12	0	20	0	0	11	0	27	46	0	0	0	6	0	0	0	0	38	294	0	26
assemblage-147-401	12	26	67	0	107	0	0	75	0	0	59	0	0	0	13	0	0	0	6	79	24	0	23
assemblage-490-497	0	24	0	49	28	0	0	108	0	0	43	0	0	0	19	0	0	0	0	113	78	0	33
assemblage-896-310	0	0	0	27	0	0	0	16	0	80	43	0	0	0	0	0	0	0	0	83	241	0	10
