Assemblage_Name	1-0-1	2540560-3576381-3	1-4838167-1	3-6487678-1	2248540-4-3	2540560-4-9322614	2540560-4-4353216	1-2401560-1	2540560-4-3	1-2513056-1	0-3-3	0-1464753-3	1-2401560-8820487	2248540-4-4505800	2248540-7190315-3
assemblage-716-247	114	0	0	0	101	0	0	0	51	0	211	0	0	0	10
assemblage-674-596	140	0	0	0	88	0	0	38	36	14	161	0	0	0	8
assemblage-931-801	102	0	144	0	0	0	168	43	41	0	0	0	0	0	2
assemblage-122-945	0	0	0	0	0	0	0	0	0	0	449	0	0	0	21
assemblage-262-886	100	0	0	0	46	0	32	10	191	12	88	0	0	16	5
assemblage-479-511	19	0	0	14	0	0	0	160	110	0	172	0	0	0	7
assemblage-370-847	26	16	0	0	0	0	242	97	65	0	30	17	0	0	5
assemblage-423-115	197	0	0	0	41	26	0	36	94	8	79	0	0	0	9
assemblage-236-225	85	10	0	0	0	0	153	103	84	0	10	5	27	0	7
assemblage-526-377	54	0	0	49	13	0	0	0	61	0	261	0	0	0	13
assemblage-275-727	114	0	0	0	0	0	81	51	231	0	13	0	0	0	10
assemblage-447-675	107	0	107	0	0	0	179	44	58	0	0	0	0	0	5
assemblage-102-526	103	0	0	0	0	0	207	139	10	0	0	0	28	0	13
assemblage-203-402	18	0	0	0	141	0	26	43	110	0	110	0	0	50	2
assemblage-400-899	134	0	0	0	83	0	0	30	57	27	147	0	0	0	12
assemblage-803-761	104	0	0	0	0	0	197	145	20	0	0	0	28	0	6
assemblage-963-273	115	11	0	0	13	0	128	87	37	0	5	64	0	0	9
assemblage-430-192	27	0	0	0	27	5	99	40	170	0	70	32	0	0	10
assemblage-803-471	96	0	0	0	0	0	156	177	48	0	0	0	6	0	6
assemblage-824-965	361	0	0	18	93	0	0	0	0	0	10	0	0	0	13
assemblage-849-805	69	0	0	54	23	0	0	0	47	0	243	0	0	0	15
assemblage-770-637	89	0	124	0	0	0	166	47	58	0	0	0	0	0	16
assemblage-951-307	13	0	0	75	60	0	0	0	36	0	239	0	0	0	12
assemblage-876-300	177	0	0	0	45	37	0	43	89	3	100	0	0	0	6
assemblage-176-500	115	10	0	0	0	0	33	127	178	0	10	8	0	0	7
assemblage-476-875	20	0	0	26	0	0	0	184	104	0	157	0	0	0	7
assemblage-508-722	36	0	0	0	0	20	145	102	148	0	33	0	0	0	16
assemblage-152-385	12	0	0	21	0	0	0	148	125	0	175	0	0	0	14
assemblage-466-364	100	0	0	0	0	0	91	37	248	0	8	0	0	0	16
assemblage-1006-705	159	0	0	0	30	0	47	55	119	0	55	0	0	4	8
