Assemblage_Name	0-2199178-8421961	0-0-9919751	8181842-1706024-2	8181842-0-2	0-0-1	4483312-2-0	8181842-972582-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	4-2-9933979	2456566-0-1	2771501-2-0
assemblage-420-685	37	0	0	138	0	0	0	0	0	0	143	150	0	2
assemblage-796-465	109	0	0	56	29	20	0	0	0	0	286	0	0	0
assemblage-278-731	62	0	0	248	4	0	0	0	0	4	161	0	0	15
assemblage-389-888	0	18	0	253	0	0	0	5	30	0	164	0	12	18
assemblage-451-195	40	0	0	97	33	0	59	0	0	26	216	0	0	20
assemblage-262-886	0	0	3	239	10	0	9	0	0	0	230	0	0	9
assemblage-599-278	0	0	0	277	97	0	0	0	0	0	123	0	0	2
assemblage-779-409	0	0	0	95	124	76	0	0	0	0	204	0	0	1
assemblage-511-700	44	0	0	128	17	0	44	0	0	21	230	0	3	11
assemblage-463-898	0	0	101	145	124	0	0	57	0	0	9	0	25	6
assemblage-427-778	38	0	0	71	35	0	47	0	0	27	259	0	4	11
assemblage-693-664	0	0	0	381	0	0	0	0	0	0	96	0	0	17
assemblage-952-290	0	0	0	41	249	0	0	0	0	0	173	0	0	9
assemblage-380-183	0	0	106	143	163	0	0	47	0	0	12	0	11	4
assemblage-409-893	0	34	0	237	11	0	0	0	35	0	149	0	15	15
assemblage-475-384	0	0	0	186	54	0	10	0	0	0	161	0	56	12
assemblage-429-117	0	0	0	235	7	0	16	0	8	0	227	0	0	7
assemblage-917-808	158	0	0	37	0	0	0	0	0	0	201	3	0	4
assemblage-827-761	102	0	0	71	7	19	0	0	0	0	296	0	0	5
assemblage-534-685	0	0	48	164	69	0	0	9	0	0	137	0	45	12
assemblage-530-672	0	0	27	104	202	0	0	51	0	0	63	0	22	8
assemblage-527-662	0	0	14	86	60	0	0	30	0	0	24	0	270	16
assemblage-166-517	0	0	0	202	46	45	0	0	0	0	178	9	12	3
assemblage-891-302	0	0	14	254	5	0	12	0	0	0	205	0	0	10
assemblage-176-500	88	0	0	173	30	123	0	0	0	0	85	0	0	1
assemblage-428-665	65	0	0	195	0	0	0	0	0	0	141	90	0	9
assemblage-121-962	0	0	0	6	187	0	0	48	0	0	26	0	0	3
assemblage-210-392	0	21	0	239	3	0	0	0	32	0	167	0	16	22
assemblage-490-497	0	0	6	179	80	0	0	0	0	0	196	0	29	10
assemblage-948-296	0	0	0	50	239	0	0	0	0	0	171	0	0	5
