Assemblage_Name	3-5470763-1	0-2-8236153	0-4-7596209	0-4-0	2-2-3	0-8492037-8381867	3-6989956-1524697	3-5470763-7486665	2-0-2	394241-8344312-8381867	3-0-0	3-0-1	0-8344312-9258184	1-2-3	0-8344312-8381867	3-4471767-0	3-5470763-4915702	3-0-1524697	3-0-6758666	8277704-0-1
assemblage-670-680	0	0	26	0	0	7	37	0	0	31	86	0	0	0	303	0	0	0	0	10
assemblage-667-580	23	27	0	132	0	0	0	0	0	0	69	60	0	0	179	0	0	0	0	10
assemblage-379-824	21	0	18	0	0	23	10	0	0	103	31	0	0	0	211	36	16	22	0	2
assemblage-429-781	89	0	8	45	0	0	0	0	0	0	40	7	0	0	185	0	0	123	0	3
assemblage-788-470	101	0	0	0	0	0	0	0	0	0	54	0	0	0	293	0	23	10	0	19
assemblage-149-384	16	70	0	99	0	0	0	0	0	0	116	197	0	0	0	0	0	0	0	2
assemblage-264-747	141	0	0	0	0	0	0	0	0	0	22	0	0	0	244	0	23	60	0	10
assemblage-420-124	136	0	42	26	0	0	0	8	0	0	105	26	18	0	138	0	0	0	0	1
assemblage-375-849	29	0	99	0	0	0	0	0	0	0	24	0	0	0	272	0	0	60	0	16
assemblage-413-864	150	8	0	71	0	0	0	17	0	0	162	57	0	0	23	0	0	0	0	1
assemblage-673-671	0	0	0	0	0	0	140	0	0	67	76	0	0	0	193	0	0	13	0	11
assemblage-380-183	0	0	0	191	0	0	0	0	0	0	62	109	0	0	118	0	0	13	0	7
assemblage-517-700	101	0	6	30	0	0	0	0	0	0	52	6	0	0	224	0	0	74	0	7
assemblage-261-874	131	0	38	16	0	0	0	14	0	0	118	23	39	0	108	0	0	0	0	2
assemblage-903-174	33	17	0	130	0	0	0	0	0	0	67	61	0	0	186	0	0	0	0	6
assemblage-770-637	0	0	27	0	0	0	96	0	0	7	83	0	0	0	279	0	0	0	0	8
assemblage-527-662	0	25	0	25	0	0	0	0	24	0	117	257	0	15	0	0	0	0	20	17
assemblage-166-517	19	0	108	0	0	0	0	0	0	0	14	0	0	0	265	0	0	76	0	14
assemblage-876-300	125	0	33	19	0	0	0	18	0	0	134	26	10	0	126	0	0	0	0	1
assemblage-427-762	117	0	3	46	0	26	0	0	0	0	124	43	0	0	125	1	7	0	0	8
assemblage-715-242	0	0	0	222	0	0	0	0	0	0	185	76	0	0	0	0	0	0	8	9
assemblage-261-263	0	0	0	8	5	0	0	0	22	0	348	0	0	88	0	0	0	0	0	7
assemblage-105-958	0	0	0	196	44	0	0	0	0	0	202	0	0	0	50	0	0	0	0	8
assemblage-908-785	0	0	6	0	0	0	91	0	0	10	72	0	0	0	304	0	0	0	0	17
assemblage-147-401	150	0	0	41	0	0	0	0	0	0	153	39	0	0	65	0	0	0	0	7
assemblage-106-951	0	14	0	81	12	0	0	0	38	0	163	60	0	35	7	0	0	0	25	6
assemblage-430-681	62	0	0	0	0	0	111	0	0	15	0	0	0	0	294	0	0	0	0	13
assemblage-272-732	56	0	0	38	0	98	0	0	0	0	12	58	0	0	166	32	0	26	0	10
assemblage-794-401	42	0	0	8	0	28	0	0	0	0	54	0	0	0	222	0	0	145	0	1
assemblage-863-789	37	39	0	13	0	0	0	0	25	0	263	58	0	0	0	0	0	0	47	13
