Assemblage_Name	4668445-9709789-3	2896054-9709789-3	3-2-3	6476841-2-3	3-3-3	1-9709789-3	3-1-6983492	1698141-0-3	4736061-0-3	7310580-0-3	1-0-6465897	3-2-2043388	1-0-3	3-4114184-7660673	4120187-1-1532498	3-4114184-5822723	1-9709789-1829351
assemblage-931-801	13	0	0	0	0	46	178	0	0	0	0	0	248	0	0	0	3
assemblage-754-613	41	0	0	0	0	141	13	0	0	0	0	0	163	0	0	0	18
assemblage-432-143	0	0	103	89	0	132	35	0	0	0	0	0	102	0	0	0	18
assemblage-865-797	0	0	37	0	55	0	159	0	0	0	0	38	123	0	10	0	18
assemblage-461-365	0	0	0	0	0	286	12	0	0	0	8	0	166	0	0	0	28
assemblage-526-705	0	0	9	19	0	152	92	13	0	0	0	0	203	0	0	0	12
assemblage-835-941	0	0	3	0	173	0	232	0	0	0	0	0	70	0	0	0	11
assemblage-432-775	0	32	21	114	0	23	40	7	0	0	0	0	237	0	0	0	17
assemblage-478-884	0	0	101	8	10	15	101	0	0	0	0	0	114	9	75	30	17
assemblage-420-124	0	38	71	59	0	38	73	0	0	0	12	0	198	0	0	0	7
assemblage-884-180	0	18	58	109	0	81	58	12	0	3	0	0	94	0	36	1	25
assemblage-792-473	17	0	0	0	0	65	48	0	71	0	0	0	273	0	0	0	26
assemblage-522-357	0	0	90	28	30	0	161	0	0	17	0	9	117	0	27	0	16
assemblage-693-664	22	0	0	0	0	54	55	0	67	0	0	0	271	0	0	0	16
assemblage-235-258	0	0	0	0	0	172	54	0	21	0	0	0	225	0	0	0	9
assemblage-923-801	13	0	0	0	0	0	53	0	44	0	0	0	197	0	0	0	7
assemblage-673-671	106	0	0	0	0	164	63	0	0	0	0	0	142	0	0	0	25
assemblage-670-582	0	56	24	237	0	45	24	44	0	6	0	0	32	0	9	0	11
assemblage-800-398	0	0	0	0	0	294	10	0	8	0	5	0	165	0	0	0	18
assemblage-714-272	0	0	82	0	95	0	71	0	0	0	0	0	134	40	0	6	20
assemblage-457-369	0	0	0	5	0	108	103	0	0	0	0	0	256	0	0	0	28
assemblage-955-304	0	0	153	0	69	0	23	0	0	0	0	37	145	0	0	0	21
assemblage-391-432	0	0	110	114	0	111	22	0	0	0	0	0	111	0	0	0	10
assemblage-212-405	0	0	108	88	7	94	57	0	0	0	0	0	81	0	23	8	17
assemblage-836-963	0	0	6	0	154	0	235	0	0	0	0	0	82	0	0	0	14
assemblage-598-280	0	0	0	0	0	106	178	0	0	0	0	0	119	0	0	0	9
assemblage-156-401	0	8	108	0	29	92	67	0	0	0	0	0	121	0	25	0	25
assemblage-508-722	0	0	11	34	0	135	94	7	0	0	0	0	200	0	0	0	11
assemblage-152-385	0	0	92	5	20	19	80	0	0	0	0	0	188	6	52	14	10
assemblage-249-264	16	0	0	0	0	155	83	0	0	0	0	0	195	0	0	0	17
