Assemblage_Name	3084741-3-282613	6355734-2-2	1-1936102-2	1-2-6242143	3-1-3	2091433-2-2	1527075-2-2	96617-1190807-3	9636245-1936102-2	3084741-2419046-282613	1-2-2	9733857-1-2	3084741-2419046-4741879	2-2-2	3-3-282613	6355734-9564016-2	1846433-3-282613	2-2-3457470	2219515-3-282613	2-2-340746	5568381-3-5860895	8714900-2-2	290673-3-282613	9069641-3-282613	4179483-3-3338584
assemblage-140-383	0	0	0	0	0	0	0	0	0	0	152	0	0	106	24	0	10	0	0	0	0	0	5	167	11
assemblage-122-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	35	0	63	221	24
assemblage-262-886	61	0	0	0	0	0	0	41	0	0	107	0	0	164	28	0	0	0	0	0	0	0	0	56	22
assemblage-227-401	123	0	0	0	0	0	0	0	0	0	175	0	0	5	96	0	0	0	0	0	0	0	0	84	6
assemblage-373-179	0	0	0	6	0	0	0	43	0	0	230	0	0	60	33	0	0	0	13	0	0	0	0	89	12
assemblage-755-622	0	246	25	0	0	0	0	0	0	62	0	0	0	69	0	44	0	15	0	0	0	0	0	0	23
assemblage-432-775	61	126	0	0	0	0	11	19	0	0	103	0	0	69	0	0	0	0	0	0	0	0	0	53	30
assemblage-722-263	0	0	0	0	0	0	0	0	0	0	41	17	0	70	174	0	23	0	0	0	0	0	27	99	14
assemblage-468-361	193	85	79	0	0	10	0	0	0	33	0	0	0	64	0	0	0	0	0	0	0	0	0	12	13
assemblage-98-541	23	76	102	0	0	18	0	0	14	47	0	0	86	16	0	30	0	62	0	0	0	4	0	0	22
assemblage-923-806	0	259	15	0	0	0	0	0	0	59	0	0	7	52	0	42	0	14	0	0	0	0	0	0	17
assemblage-275-727	103	69	7	0	0	90	0	0	0	24	0	0	120	0	0	0	0	0	0	0	0	0	0	51	19
assemblage-786-478	18	53	132	0	0	57	0	0	0	25	0	0	46	86	0	0	0	0	0	19	0	34	0	0	15
assemblage-729-265	0	0	0	0	10	0	0	10	0	0	115	5	0	105	42	0	30	0	0	0	15	0	10	111	35
assemblage-684-671	20	80	109	0	0	65	0	0	0	17	0	0	49	55	0	0	0	0	0	29	0	54	0	0	7
assemblage-901-168	82	8	0	7	0	0	0	0	0	0	123	0	0	74	44	0	0	0	0	0	0	0	0	122	18
assemblage-207-404	109	0	0	0	0	0	0	0	0	0	179	0	0	10	100	0	0	0	0	0	0	0	0	88	14
assemblage-832-957	0	0	0	0	121	0	0	24	0	0	9	0	0	159	24	0	38	0	0	0	0	0	0	3	15
assemblage-590-275	37	24	178	0	0	26	0	0	13	48	0	0	19	27	0	0	0	72	0	0	0	0	0	5	12
assemblage-382-848	73	63	32	0	0	189	0	0	0	0	0	0	42	0	0	0	0	13	0	52	0	0	0	0	13
assemblage-167-498	25	13	198	0	0	26	0	0	8	56	0	0	20	56	0	0	0	54	0	0	0	0	0	6	19
assemblage-427-762	221	103	23	0	0	5	14	14	0	0	28	0	0	26	0	0	0	0	0	0	0	0	0	39	27
assemblage-420-142	95	0	0	0	0	54	0	0	0	0	156	0	0	10	33	0	0	0	0	0	0	0	0	113	21
assemblage-1005-716	223	101	32	0	0	7	7	7	0	0	27	0	0	46	0	0	0	0	0	0	0	0	0	38	12
assemblage-121-962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	27	0	57	237	29
assemblage-536-381	0	0	0	0	33	0	0	0	0	0	152	9	0	75	20	0	29	0	21	0	16	0	0	79	13
assemblage-503-522	0	0	0	8	0	0	0	46	0	0	244	0	0	65	23	0	0	0	11	0	0	0	0	77	17
assemblage-430-681	0	19	173	0	0	0	0	0	0	37	0	0	35	36	0	59	0	100	0	15	0	0	0	0	26
assemblage-272-732	110	114	44	0	0	8	0	0	0	62	9	0	0	72	0	0	0	36	0	0	0	0	0	32	13
assemblage-896-310	165	0	0	0	0	0	22	0	0	0	68	0	0	40	0	0	0	0	0	0	0	0	0	93	33
