Assemblage_Name	2-4986244-1	8818895-2829810-6651326	2-0-8653177	8418195-8848160-7486020	304491-7863862-6651326	3-8848160-1	8818895-8372019-6651326	3-1-4	8818895-7863862-6651326	4551229-4986244-1	3-8848160-1259166	0-4-4	8418195-8848160-1	2-9315857-0	8818895-4353979-6651326	2-0-0	2305963-0-6651326	8818895-1952768-6651326	1827718-4-4	3-4-1339037	4082810-8420210-0	3712087-2463846-0	2305963-0-5728855	3949603-2463846-0	719054-0-6651326	2-2463846-2722589	3-4-1	0-4-5040366	2-2463846-4649804	2-2463846-0	8818895-0-6651326	0-8177505-247236	6765348-2463846-124737	8418195-8848160-4273856
assemblage-991-720	0	0	0	0	0	0	0	0	19	0	0	63	0	0	0	0	30	0	96	0	0	0	0	16	0	8	62	17	0	0	142	0	0	17
assemblage-891-310	0	0	0	77	0	0	0	0	0	0	0	50	0	7	0	24	0	0	0	17	19	0	0	0	0	5	130	0	56	0	87	0	0	9
assemblage-826-970	0	0	49	0	0	0	0	76	0	0	0	9	0	0	0	310	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	12
assemblage-162-502	0	22	0	0	0	0	0	0	14	0	0	0	0	0	0	0	27	36	14	0	0	108	17	0	0	0	0	7	0	0	213	0	15	13
assemblage-667-575	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	28	50	0	0	0	0	0	68	0	53	100	127	5	0	16
assemblage-788-470	0	0	0	0	92	0	34	0	6	0	0	0	0	0	0	0	0	76	38	0	0	10	6	0	0	0	0	33	0	0	93	0	0	5
assemblage-802-123	0	0	0	0	3	0	0	0	0	0	0	0	0	0	27	0	0	43	0	0	0	0	0	0	46	0	0	66	0	0	287	0	0	21
assemblage-100-530	0	0	0	0	0	0	22	0	36	0	0	0	0	0	23	0	0	0	14	0	0	67	15	0	0	0	0	0	0	0	275	0	0	24
assemblage-237-898	0	0	0	4	0	0	0	0	0	0	0	38	0	5	0	21	69	0	21	10	0	0	0	0	0	0	15	0	6	73	189	0	0	21
assemblage-236-225	0	6	0	0	15	0	3	0	36	0	0	0	0	0	0	0	7	39	56	0	0	45	26	14	0	0	0	19	0	0	187	0	0	43
assemblage-502-692	0	0	0	0	0	0	0	0	17	0	0	51	0	0	0	0	36	0	81	0	0	0	0	32	0	14	70	20	0	0	132	0	0	15
assemblage-100-545	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	54	23	0	0	0	0	0	0	0	195	0	0	19
assemblage-522-357	9	0	27	0	0	43	0	35	0	8	15	35	0	0	0	73	0	0	0	0	84	0	0	0	0	0	81	0	0	0	20	0	0	32
assemblage-990-711	0	0	0	0	0	0	0	0	8	0	0	9	0	0	0	37	0	0	7	0	0	46	0	24	0	0	27	0	0	11	302	0	0	20
assemblage-473-354	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	22	117	16	0	0	111	0	38	0	0	14	8	0	0	86	0	36	13
assemblage-187-516	0	26	0	0	0	0	0	0	7	0	0	0	0	0	0	0	17	38	11	0	0	104	19	0	0	0	0	0	0	0	228	0	11	17
assemblage-800-398	0	0	0	0	0	0	0	0	24	0	0	9	0	0	0	0	19	0	122	0	0	0	80	13	0	0	31	90	0	0	89	0	0	15
assemblage-488-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	121	0	0	0	0	0	84	0	0	163	0	19	0	16
assemblage-714-272	18	0	43	0	0	48	0	6	0	5	0	47	9	0	0	103	0	0	0	0	144	0	0	0	0	0	4	0	0	9	0	0	0	30
assemblage-950-291	0	0	0	0	0	143	0	89	0	0	8	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	8
assemblage-429-117	0	0	0	0	0	0	0	0	0	0	0	50	0	11	0	7	54	0	17	9	0	0	0	0	0	0	32	0	6	78	170	0	0	36
assemblage-207-404	0	0	0	0	0	0	0	0	0	0	0	34	0	27	0	27	0	0	0	0	39	17	0	0	0	0	41	0	0	146	79	67	0	13
assemblage-791-421	0	0	0	0	26	0	0	0	73	0	0	0	0	0	0	0	26	0	0	0	0	24	0	40	0	0	0	0	0	0	230	0	11	16
assemblage-424-663	0	118	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	21	0	0	0	0	100	0	12	0	0	0	0	0	137	0	0	13
assemblage-824-965	14	0	56	0	0	0	0	75	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	17
assemblage-379-174	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	56	0	0	0	6	54	0	0	0	0	0	115	0	0	101	94	0	0	23
assemblage-687-581	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	29	62	0	0	0	0	0	95	0	41	72	141	4	0	13
assemblage-476-875	0	0	0	0	0	8	0	0	0	0	0	4	26	0	0	43	0	0	0	5	51	0	0	0	0	0	137	0	0	98	113	0	0	7
assemblage-536-381	0	0	23	0	0	35	0	51	0	7	26	42	0	0	0	84	0	0	0	0	80	0	0	0	0	0	67	0	0	0	28	0	0	27
assemblage-762-622	0	0	0	0	10	0	0	0	0	0	0	0	0	0	25	0	0	26	0	0	0	0	0	0	38	0	0	67	0	0	312	0	0	12
