Assemblage_Name	2-3-376073	2972615-6614695-3	0-749553-4025164	2-3-3	0-749553-1	0-3855009-3	4-1-0	1-1-0	2972615-247089-3	0-1-1	0-8764530-1	2-9427148-376073	977077-749553-1	5566516-3-376073	0-749553-711024	0-749553-8245415
assemblage-867-301	99	26	22	0	118	0	200	0	30	0	0	0	0	0	0	5
assemblage-931-801	86	0	0	0	172	0	0	0	25	0	31	60	23	92	0	11
assemblage-797-468	46	0	0	0	60	0	0	0	163	0	67	9	61	25	43	1
assemblage-909-174	136	0	0	0	129	37	70	0	116	0	0	0	0	0	0	12
assemblage-479-511	172	0	0	6	29	26	120	0	133	0	0	0	0	0	0	10
assemblage-526-705	12	83	0	0	212	0	86	0	10	0	60	7	0	0	0	7
assemblage-511-700	20	30	0	0	202	0	204	0	0	0	0	34	0	0	0	10
assemblage-900-315	86	36	24	0	102	0	210	0	30	0	0	0	0	0	0	12
assemblage-468-361	0	25	0	0	269	0	107	0	34	0	19	32	0	0	0	14
assemblage-252-252	60	0	0	0	81	0	4	0	70	0	265	8	0	0	7	5
assemblage-884-180	146	11	0	23	107	12	99	0	84	0	0	6	0	0	0	4
assemblage-593-283	0	0	0	0	125	0	0	0	104	0	168	9	71	4	0	5
assemblage-107-971	248	0	0	14	0	0	19	190	0	0	0	0	0	0	0	21
assemblage-98-541	60	0	0	0	0	0	0	0	84	0	114	133	24	7	35	11
assemblage-813-103	0	0	0	0	80	0	0	0	158	0	92	30	84	41	10	5
assemblage-475-384	64	0	7	0	135	0	82	0	0	0	62	88	0	0	44	15
assemblage-244-910	118	43	26	0	97	0	178	0	35	0	0	0	0	0	0	3
assemblage-483-866	79	0	0	8	73	8	164	11	151	0	0	0	0	0	0	6
assemblage-536-360	216	0	0	23	0	0	5	0	180	50	0	0	0	0	0	15
assemblage-111-935	230	0	0	21	0	0	19	204	0	12	0	0	0	0	0	9
assemblage-791-421	0	15	0	0	277	0	72	0	71	0	21	27	0	0	0	17
assemblage-172-503	0	0	0	0	112	0	0	0	15	0	93	151	0	70	39	20
assemblage-903-174	169	47	0	0	61	0	118	0	81	0	0	19	0	0	0	5
assemblage-701-261	70	0	0	35	47	61	109	71	57	18	0	0	0	0	0	6
assemblage-443-195	14	23	0	0	201	0	222	0	0	0	0	29	0	0	0	11
assemblage-379-174	185	0	0	12	33	30	112	0	115	0	0	0	0	0	0	7
assemblage-849-805	163	0	0	20	0	0	11	5	233	51	0	0	0	0	0	8
assemblage-919-801	89	0	0	0	163	0	0	0	33	0	37	79	25	73	0	1
assemblage-261-263	12	0	0	104	0	0	2	22	238	0	0	0	0	0	0	2
assemblage-672-668	6	0	0	0	11	0	0	0	121	0	116	84	68	78	0	2
