Assemblage_Name	5242608-2-346685	6983051-2-346685	0-2-2770139	3-3-4	0-1-1	3-7176568-4	1-2-346685	0-7265421-8182022	6604848-2-1	1-2-1	6983051-2-6909652	2-1-1	1813519-3-4	1-1718058-1	6738066-1-1
assemblage-754-613	93	12	59	231	0	0	21	0	0	0	26	0	0	0	2
assemblage-389-888	0	0	27	178	0	0	0	0	130	93	0	6	0	59	7
assemblage-275-260	0	0	13	285	37	0	0	0	0	23	0	113	7	0	9
assemblage-281-720	9	136	29	11	0	0	224	0	4	44	0	37	0	0	6
assemblage-273-900	0	0	227	27	0	0	131	0	30	26	0	47	0	4	8
assemblage-461-365	8	112	19	7	0	0	237	0	0	64	0	31	0	0	14
assemblage-730-265	0	0	0	158	0	26	0	67	0	105	0	46	15	70	3
assemblage-990-744	0	0	3	52	0	0	97	0	76	160	0	60	0	8	6
assemblage-521-677	0	0	26	179	3	0	0	22	0	9	0	179	18	25	10
assemblage-755-622	48	110	0	235	0	0	26	0	0	0	62	13	0	0	6
assemblage-149-384	0	0	21	248	0	6	47	5	0	49	0	33	0	73	3
assemblage-490-502	0	0	25	224	0	9	65	10	0	65	0	21	0	63	5
assemblage-100-545	22	196	17	224	0	0	6	0	0	0	10	19	0	0	6
assemblage-376-844	138	0	0	188	0	0	91	0	0	0	43	0	0	0	10
assemblage-410-885	0	0	151	183	0	0	12	0	25	79	0	37	0	6	7
assemblage-673-671	34	87	0	141	0	0	65	0	0	0	129	41	0	0	3
assemblage-203-402	0	0	157	141	0	0	0	0	126	30	0	7	0	31	2
assemblage-803-761	20	176	29	234	0	0	12	0	0	0	9	15	0	0	5
assemblage-261-874	0	0	30	203	0	0	35	0	44	51	0	125	0	9	3
assemblage-169-400	0	0	175	74	0	0	0	8	0	106	0	36	6	82	13
assemblage-951-307	0	0	33	129	80	0	0	100	0	0	0	9	0	0	11
assemblage-238-250	29	118	54	99	0	0	86	0	0	0	75	0	0	0	6
assemblage-386-420	0	0	83	115	0	0	81	0	64	34	0	101	0	15	7
assemblage-715-242	0	0	15	213	0	0	0	91	0	116	0	42	0	19	4
assemblage-950-266	0	102	24	15	0	0	254	0	7	55	0	31	0	0	12
assemblage-1005-716	30	52	145	63	0	0	98	0	33	0	8	32	0	35	4
assemblage-425-184	30	55	132	71	0	0	102	0	36	0	5	32	0	33	4
assemblage-757-617	87	19	66	223	0	0	19	0	0	0	19	8	0	0	0
assemblage-388-860	81	51	115	103	0	0	44	0	0	14	39	0	0	0	20
assemblage-948-296	0	0	20	154	80	0	0	83	0	8	0	17	0	0	3
