Assemblage_Name	639407-9117553-4813269	0-4672728-2	0-8837637-751432	639407-1-3	5112188-2-2	7406986-1-3	1-7699758-1	7488465-6669505-1	4117610-8837637-751432	0-6623486-2	4-1-4925860	639407-9117553-4436760	0-2-1968540	4-8775368-3	0-2-2	0-8837637-2	4-1-3	6595499-1-3	8879535-6623486-3923841	4971282-2-2	4-1-5957016
assemblage-867-301	0	0	0	123	0	0	0	0	0	52	0	0	19	0	29	11	164	0	0	64	12
assemblage-677-600	0	0	0	176	0	0	0	0	0	0	0	53	0	0	174	0	87	0	0	0	10
assemblage-802-759	0	22	0	117	0	0	0	0	0	27	48	0	0	0	5	35	65	27	89	0	33
assemblage-389-888	0	0	0	177	0	0	0	0	0	0	0	5	0	0	187	90	37	0	0	0	4
assemblage-837-802	26	0	0	106	7	0	3	51	0	0	0	17	0	10	222	0	38	0	0	0	6
assemblage-162-502	0	16	0	109	0	23	0	0	0	173	10	0	0	0	17	37	58	0	51	0	6
assemblage-461-365	0	0	0	84	0	0	0	0	11	21	0	0	0	0	0	68	290	0	0	0	17
assemblage-788-470	0	34	0	124	0	0	0	0	0	37	51	0	0	0	0	24	50	32	86	0	26
assemblage-506-671	18	0	0	102	0	0	19	20	0	0	0	0	0	49	266	0	0	0	0	0	20
assemblage-463-898	0	0	0	83	0	0	0	0	0	0	0	89	0	0	215	0	26	0	0	0	16
assemblage-443-206	0	0	17	75	0	0	0	0	0	55	0	13	8	0	25	71	180	0	0	0	18
assemblage-900-315	0	0	0	140	0	0	0	0	0	37	0	0	22	0	32	28	135	0	0	45	14
assemblage-236-225	0	71	0	70	0	8	0	0	15	84	26	0	0	0	50	30	96	0	14	0	26
assemblage-522-357	32	0	0	91	0	0	10	16	0	0	0	0	0	69	250	0	0	0	0	0	27
assemblage-469-877	0	0	0	176	0	0	0	0	0	0	0	31	0	40	214	0	0	0	0	22	17
assemblage-993-720	0	0	0	99	0	0	0	0	0	0	0	19	20	0	126	145	60	0	0	0	23
assemblage-684-671	0	138	0	15	0	32	0	0	22	79	65	0	0	0	0	6	84	10	0	0	18
assemblage-962-300	0	0	7	218	0	0	0	0	0	30	0	0	0	0	12	47	162	0	0	0	18
assemblage-956-316	0	0	0	3	21	0	0	0	0	0	0	0	0	0	401	0	14	0	0	0	17
assemblage-111-935	0	0	0	19	0	0	0	150	0	0	0	0	0	0	190	0	2	0	0	0	15
assemblage-261-874	0	0	0	140	0	0	0	0	0	0	0	15	0	0	130	33	48	0	0	14	2
assemblage-375-188	0	0	0	114	0	0	0	17	0	0	0	33	0	16	259	0	25	0	0	0	27
assemblage-951-307	0	0	0	5	21	0	0	0	0	0	0	0	0	0	398	0	12	0	0	0	9
assemblage-805-423	0	0	0	87	0	0	0	0	13	24	0	0	0	0	0	57	295	0	0	0	17
assemblage-598-280	0	80	0	20	0	0	0	0	0	102	75	0	0	0	55	41	96	0	0	0	15
assemblage-210-392	0	0	0	147	0	0	0	0	0	0	0	0	0	0	203	113	30	0	0	0	7
assemblage-757-617	0	67	0	103	0	0	0	0	0	120	61	0	0	0	30	2	0	0	83	0	17
assemblage-908-785	0	171	0	0	0	0	0	0	0	96	130	0	0	0	48	0	43	0	0	0	9
assemblage-436-224	0	0	8	95	0	0	0	0	0	0	0	18	10	0	90	157	82	0	0	0	23
assemblage-430-681	0	72	0	115	0	0	0	0	0	80	59	0	0	0	44	0	0	0	89	0	20
