Assemblage_Name	1-0-3	1-3552373-3444825	1-3100407-0	1-9366505-3444825	1-0-3444825	8818616-1-2	0-1-2	1254516-3100407-0	6210085-1-2	3427671-1-2	1-7688113-5252633	1-3100407-3290653	1-3-3	0-6854057-2	222918-1-2	1-3454071-2	1-2-0	1-4345707-3
assemblage-991-720	3	0	15	0	60	0	167	0	49	0	85	0	0	0	0	89	0	19
assemblage-688-589	73	0	18	0	0	0	151	0	0	0	0	41	53	0	0	56	83	13
assemblage-796-465	0	65	0	0	17	10	283	0	0	30	4	0	0	68	0	17	0	6
assemblage-826-970	163	0	9	0	0	0	0	0	0	0	0	0	23	0	0	70	165	11
assemblage-162-502	0	71	0	67	88	0	178	0	17	0	18	0	0	0	14	26	0	21
assemblage-273-900	75	0	59	0	0	0	169	0	0	0	0	0	9	0	56	101	0	14
assemblage-488-504	124	0	84	0	0	0	56	7	0	0	0	16	24	0	0	78	94	6
assemblage-113-959	241	0	0	0	0	0	205	0	0	0	0	0	0	0	0	21	0	10
assemblage-802-123	0	27	0	46	0	54	308	0	0	0	0	0	0	62	0	0	0	3
assemblage-478-884	34	0	5	0	0	0	218	11	0	0	0	34	0	0	0	139	33	10
assemblage-722-263	14	0	55	0	0	0	103	57	0	0	0	0	0	0	0	235	0	19
assemblage-443-206	16	0	0	0	5	0	256	0	0	0	0	0	0	37	22	138	0	18
assemblage-413-864	64	0	15	0	0	0	165	0	0	0	0	26	60	0	0	57	92	9
assemblage-409-893	50	0	4	0	0	0	278	0	0	0	0	0	10	0	0	95	6	6
assemblage-714-272	85	0	17	0	0	0	189	0	0	0	0	0	33	0	0	118	25	10
assemblage-254-885	104	0	42	0	19	0	138	0	0	0	0	0	22	30	0	70	24	9
assemblage-802-744	0	80	0	0	7	10	255	0	0	36	6	0	0	79	0	15	0	12
assemblage-421-662	0	108	0	0	9	7	214	0	0	12	0	0	0	18	0	50	0	23
assemblage-169-400	113	0	69	0	0	0	61	12	0	0	0	9	28	0	0	82	106	11
assemblage-250-249	0	0	0	0	0	0	202	0	0	28	55	0	0	78	43	14	0	31
assemblage-164-524	0	0	0	0	13	0	363	0	0	0	59	0	0	32	0	9	0	14
assemblage-891-302	42	0	9	0	0	0	317	0	0	0	0	0	0	0	0	78	8	31
assemblage-876-781	96	0	7	0	0	0	69	16	0	0	0	0	0	0	0	158	61	9
assemblage-950-266	0	0	0	35	117	0	203	0	38	0	31	0	0	24	0	19	0	4
assemblage-1005-716	12	0	0	0	4	0	260	0	0	0	0	0	0	54	28	123	0	10
assemblage-261-263	15	0	28	0	0	0	13	0	0	0	0	0	79	0	0	335	9	12
assemblage-672-668	0	85	0	0	12	14	237	0	0	41	17	0	0	66	0	17	0	11
assemblage-466-364	1	13	0	0	64	0	193	0	13	0	48	0	0	38	33	58	0	4
assemblage-908-785	0	145	0	24	6	29	117	0	0	16	0	0	0	63	0	25	0	6
assemblage-272-732	22	0	0	0	71	0	152	0	0	0	74	0	0	124	0	32	0	18
