Assemblage_Name	2-4-5580820	8182459-2-4	6834220-5998697-4	2393793-9167771-4	4919755-4-4	2037062-4-1145546	2-9028575-4	1-4055397-3094890	969141-8816722-2	8182459-8394455-4	9636105-9028575-4	969141-2-2	2393793-1344423-1145546	969141-4890804-2	1-4055397-2	2-4909298-4	6754904-515047-56601	6639381-2-4	8182459-4782473-4	969141-4724289-2	1536422-9167771-4	4-2-4	4-515047-56601	2393793-4-1145546	1-0-2	2046789-3-784224	969141-1150037-2	1-4055397-6627749	1536422-9167771-2003590	2-4-4	1-2-6857172	2393793-4-4	969141-9394269-2	1-4055397-934669
assemblage-716-247	19	18	0	0	0	0	18	0	10	0	0	12	0	0	84	0	8	0	0	0	0	0	0	0	140	0	0	0	0	102	0	0	10	21
assemblage-865-797	39	36	0	0	0	0	8	0	15	0	0	25	0	0	68	17	5	0	0	0	0	0	0	0	120	0	0	0	0	87	0	0	21	28
assemblage-526-705	0	58	6	42	0	0	0	0	0	0	0	13	0	0	22	0	0	55	0	0	30	0	0	162	0	6	0	30	0	0	0	33	0	28
assemblage-821-743	0	155	0	86	0	36	0	0	0	0	0	0	52	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-113-959	0	0	0	0	0	0	0	0	0	0	0	50	0	0	315	0	27	0	0	0	0	7	20	0	0	0	0	0	0	45	0	0	7	23
assemblage-443-206	0	66	0	23	0	0	0	0	0	0	0	12	0	0	25	0	0	86	0	0	38	0	0	157	0	4	0	20	0	0	0	33	0	27
assemblage-420-124	0	83	0	0	0	0	0	103	0	0	32	22	0	0	63	0	0	9	0	0	0	0	0	0	0	0	0	47	0	0	9	50	0	17
assemblage-237-898	0	16	25	0	18	0	0	15	0	0	8	9	0	0	84	0	0	56	0	33	0	0	0	32	0	0	18	93	0	0	13	26	0	18
assemblage-502-692	0	19	19	87	0	0	0	8	0	0	3	0	0	0	33	0	0	50	0	50	0	0	0	54	0	0	0	100	0	0	0	51	0	16
assemblage-593-283	0	176	0	8	0	0	0	0	0	0	29	0	66	0	0	0	0	0	6	0	63	0	0	0	0	0	0	79	25	0	0	0	0	16
assemblage-586-303	0	131	24	25	0	0	0	0	0	9	22	0	0	0	0	0	0	41	5	0	0	0	0	56	0	0	0	87	26	0	0	0	0	22
assemblage-149-396	0	74	0	0	0	0	0	48	11	0	0	80	0	0	65	3	0	0	0	0	0	0	0	0	6	37	0	0	0	0	0	67	37	27
assemblage-546-680	0	64	0	0	0	0	3	0	31	0	0	56	0	0	0	47	0	0	0	0	0	6	0	0	128	4	0	0	0	0	0	0	20	23
assemblage-923-801	0	175	8	0	0	0	0	0	0	13	61	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-187-516	0	127	19	28	0	0	0	0	0	9	20	0	0	0	0	0	0	52	13	0	0	0	0	23	0	0	0	116	19	0	0	0	0	21
assemblage-409-893	0	15	0	0	8	0	0	56	0	0	44	77	0	3	152	0	0	17	0	0	0	0	0	0	0	0	0	7	0	41	24	38	0	15
assemblage-400-899	0	33	0	0	0	0	0	126	0	0	7	41	0	16	41	0	0	0	0	0	0	0	0	21	0	44	33	0	0	0	0	52	0	20
assemblage-797-749	0	275	0	14	0	25	0	0	0	0	0	0	55	0	0	0	0	60	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	17
assemblage-794-418	0	165	0	16	0	0	0	0	0	0	0	0	15	0	0	0	0	23	0	0	38	0	0	97	0	0	0	89	0	0	0	19	0	26
assemblage-787-428	0	0	25	43	0	12	0	0	0	0	0	0	0	0	0	0	0	70	0	0	5	0	0	204	0	0	0	103	0	0	0	7	0	24
assemblage-893-305	0	19	12	0	25	0	0	18	0	0	7	18	0	0	65	0	0	77	0	25	0	0	0	42	0	0	19	96	0	0	8	25	0	22
assemblage-212-405	0	29	0	0	21	0	0	46	0	0	37	53	0	0	129	0	0	15	0	0	0	0	0	0	0	0	0	14	0	45	42	35	0	30
assemblage-950-266	0	5	38	18	0	17	0	0	0	0	0	0	0	0	0	0	0	46	0	0	13	0	0	210	0	0	0	97	0	0	0	11	0	9
assemblage-478-871	16	48	0	0	0	0	0	53	21	0	0	72	0	7	63	5	0	0	0	0	0	0	0	0	6	39	0	0	0	0	0	86	24	25
assemblage-672-668	0	237	0	9	0	26	0	0	0	0	0	0	54	0	0	0	0	94	0	0	14	0	0	0	0	0	0	6	0	0	0	0	0	32
assemblage-105-958	0	0	0	0	0	0	0	8	0	0	0	36	0	0	318	0	26	0	0	0	0	6	13	0	0	0	0	0	0	53	0	0	14	19
assemblage-801-129	0	244	0	48	0	0	0	0	0	0	0	0	13	0	0	0	0	90	0	0	16	0	0	0	0	0	0	18	0	0	0	0	0	13
assemblage-762-622	0	148	0	0	0	0	0	0	0	46	0	0	137	0	0	0	0	7	0	0	43	0	0	0	0	0	0	36	0	0	0	0	0	21
assemblage-503-522	0	37	0	0	0	0	0	57	7	0	0	89	0	13	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	44	23	20
assemblage-121-967	0	0	0	0	0	0	0	6	0	0	0	48	0	0	339	0	25	0	0	0	0	9	11	0	0	0	0	0	0	37	0	0	11	14
