Assemblage_Name	2-4-1814292	7317050-3-7543175	7645777-3-4	7317050-3-4	0-1-0	9119425-3-4	0-0-1	2-4-478858	0-8823455-4	0-3-4	2-4-4	0-0-4729588	2-4-5881797	9704825-3-4
assemblage-140-383	0	7	0	19	0	16	185	14	0	142	72	0	0	3
assemblage-592-295	5	0	131	0	0	0	0	0	0	56	186	92	18	6
assemblage-432-143	0	55	14	16	0	0	114	0	0	71	173	15	7	6
assemblage-278-731	0	0	106	0	0	0	0	0	0	15	312	0	47	13
assemblage-389-888	0	0	62	30	0	0	119	15	0	34	127	0	98	11
assemblage-451-195	0	22	63	0	0	0	40	0	0	75	194	0	57	16
assemblage-435-763	0	0	48	0	0	0	19	0	0	122	267	16	22	3
assemblage-488-381	0	0	123	0	0	0	0	0	0	14	293	0	52	6
assemblage-427-192	0	0	17	0	0	0	4	0	0	205	179	0	53	27
assemblage-787-755	0	0	32	0	0	0	0	0	0	104	163	88	32	9
assemblage-521-677	0	0	0	0	21	45	92	0	18	198	120	0	0	6
assemblage-149-384	0	0	38	0	0	50	142	39	0	164	65	0	0	2
assemblage-802-123	0	0	36	0	0	0	0	0	0	53	234	106	0	19
assemblage-413-864	0	0	10	0	0	0	71	0	0	237	155	0	0	13
assemblage-974-263	0	0	22	0	0	0	13	0	0	139	231	0	75	20
assemblage-447-675	0	0	6	0	0	0	0	0	0	167	97	135	60	14
assemblage-102-526	0	0	0	0	0	0	0	0	0	81	129	80	121	7
assemblage-396-413	0	7	0	29	0	0	21	10	0	182	240	0	0	11
assemblage-536-360	0	0	0	0	17	58	106	0	13	195	106	0	0	5
assemblage-803-471	0	0	30	0	0	0	0	0	0	115	135	94	39	28
assemblage-276-265	0	0	0	0	122	0	51	0	48	68	185	0	0	10
assemblage-424-663	0	0	0	0	0	0	0	0	0	195	151	75	22	17
assemblage-534-685	0	0	0	0	0	106	195	0	6	122	40	0	0	6
assemblage-212-405	0	0	40	17	0	0	149	8	0	30	128	0	112	6
assemblage-167-498	10	0	119	0	0	0	0	0	0	75	173	97	11	3
assemblage-876-300	0	57	78	0	0	0	74	0	0	68	174	0	36	13
assemblage-156-401	0	0	0	0	0	78	81	0	0	128	163	0	0	12
assemblage-262-256	0	0	0	0	89	0	38	0	32	95	203	0	0	12
assemblage-948-296	0	0	0	0	0	0	401	0	0	0	61	0	0	15
assemblage-249-264	4	0	123	0	0	0	0	0	0	76	178	98	14	7
