Assemblage_Name	9163342-5050892-614504	1-3518495-5980281	0-8390775-6767077	0-5116726-6767077	3-5944614-4	3-7285706-4	4-6972354-2	2-7576358-0	2-92162-0	0-8390775-7525566	2-2842059-3109187	4-4276950-2	3864285-2842059-0	1-6044107-5980281	2-2842059-0	0-6106056-7803777	7303763-8390775-6767077	3744258-2842059-0	3-4-4	8543765-3505617-0	9163342-5050892-4	2-5348138-0	0-6106056-5777247	2-8422366-0	3-7983346-4	4-2006713-2	6685234-2842059-0
assemblage-837-802	0	0	160	0	0	64	5	0	0	0	0	0	0	0	111	0	0	0	0	0	0	68	4	42	0	0	18
assemblage-826-970	0	0	0	0	0	6	0	0	0	0	0	0	0	0	186	0	0	0	231	0	0	0	0	0	0	0	18
assemblage-227-401	0	16	156	0	9	0	25	0	0	0	0	0	0	37	231	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-917-785	17	0	0	0	0	0	0	36	63	0	0	0	0	0	190	0	14	0	0	13	0	0	0	0	0	0	26
assemblage-601-285	0	0	111	0	0	0	0	53	68	0	0	0	0	0	0	0	26	0	0	0	164	0	0	0	0	34	35
assemblage-990-744	0	0	47	0	25	0	0	107	47	0	0	36	24	0	98	0	0	0	0	0	43	0	0	0	0	0	36
assemblage-423-115	0	0	128	35	47	0	36	0	0	0	15	0	5	23	139	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-149-384	0	4	76	0	0	31	105	0	0	0	15	0	0	84	75	0	0	30	0	0	0	0	0	10	0	0	9
assemblage-420-124	0	0	136	47	30	0	17	0	0	0	25	0	9	30	161	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-237-898	0	0	77	0	55	0	18	37	53	0	0	0	0	19	181	0	0	0	0	0	54	0	0	0	0	0	6
assemblage-502-692	0	0	51	0	26	0	0	89	56	0	0	47	20	0	105	0	0	0	0	0	47	0	0	0	0	0	18
assemblage-586-303	22	0	18	0	0	0	0	27	57	0	0	77	0	0	107	0	41	0	0	0	109	0	0	0	0	7	7
assemblage-546-680	0	63	31	0	0	0	10	0	0	0	0	0	0	20	187	41	0	31	0	0	0	0	83	0	0	0	24
assemblage-809-445	0	0	39	0	46	0	0	108	111	0	0	0	0	0	28	0	33	0	0	0	56	0	0	0	53	0	19
assemblage-752-617	16	0	0	0	0	0	0	39	67	0	0	0	0	0	181	0	29	0	0	17	0	0	0	0	0	0	25
assemblage-397-865	0	0	132	0	25	16	135	0	0	49	6	0	0	23	85	0	0	0	0	0	16	0	0	0	0	0	13
assemblage-203-402	0	0	132	0	12	9	110	0	0	77	0	0	0	41	89	0	0	0	0	0	14	0	0	0	0	0	16
assemblage-803-761	66	0	16	0	0	0	0	54	21	0	0	0	0	0	112	0	32	0	0	62	89	0	0	0	0	21	10
assemblage-963-273	0	0	103	0	18	0	0	19	10	0	0	41	0	0	69	0	131	0	0	0	27	0	0	0	9	0	12
assemblage-527-667	0	0	58	0	0	0	0	0	0	0	0	0	0	0	231	7	0	0	105	0	0	0	16	0	0	0	20
assemblage-832-957	0	0	0	0	0	7	0	0	0	0	0	0	0	0	195	0	0	0	235	0	0	0	0	0	0	0	34
assemblage-383-199	0	0	202	0	27	69	0	0	0	12	0	0	0	13	49	0	0	0	0	0	20	31	0	36	0	0	17
assemblage-376-184	0	0	185	0	40	60	0	0	0	11	0	0	0	28	50	0	0	0	0	0	26	30	0	16	0	0	7
assemblage-176-500	0	0	90	0	0	0	0	103	0	0	0	74	0	0	10	0	45	0	0	73	69	0	0	0	6	0	14
assemblage-261-263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	127	0	29	0	0	0	0	191	0	0	0	25
assemblage-428-665	0	0	0	0	0	0	0	183	0	0	0	0	0	0	139	0	0	0	0	34	32	0	0	0	0	13	10
assemblage-438-205	0	0	106	9	22	0	56	0	0	0	0	0	0	79	92	0	0	0	0	0	61	0	0	0	0	0	13
assemblage-672-668	0	0	27	0	0	0	0	9	56	0	0	87	0	0	144	0	54	0	0	17	56	0	0	0	0	0	14
assemblage-695-686	0	0	0	0	0	0	0	111	10	0	0	17	0	0	315	0	0	0	0	0	29	0	0	0	0	7	6
assemblage-794-401	0	0	20	0	72	0	0	114	91	0	0	0	0	0	34	0	33	0	0	0	50	0	0	0	57	0	13
