Assemblage_Name	0-2210072-1	1947806-0-694324	2-9465097-0	116781-9465097-0	8278759-8355217-0	1-3-262466	4-4-7672833	8501733-4-2	4-6045414-2	4-1811098-2	1-0-694324	2-2-1156293	2-8355217-0	2-2-2	0-2295305-5397743	1-3-4	1-4024928-694324	0-2295305-1	1418251-0-694324	4-4-2	2-2781308-0	1-700648-4	4-4-8793825	1-3-9200205	9444668-5089508-0
assemblage-796-465	0	0	0	0	36	48	0	0	0	0	275	0	0	0	0	0	47	0	0	0	0	0	12	0	36
assemblage-406-405	4	0	129	0	0	0	0	0	0	0	74	77	21	0	0	62	0	0	0	0	0	0	57	0	47
assemblage-281-720	0	0	75	0	0	37	0	0	0	0	222	0	16	0	0	20	0	0	6	0	0	0	112	0	6
assemblage-273-900	12	0	149	0	0	0	0	0	7	0	71	77	20	0	13	58	0	11	0	0	0	0	49	0	23
assemblage-667-575	0	0	107	0	0	0	0	0	64	6	89	95	0	0	0	25	0	55	0	0	0	5	30	11	13
assemblage-917-785	0	6	0	0	56	115	0	0	0	0	187	0	70	0	0	0	33	0	0	0	0	0	0	0	10
assemblage-521-677	0	0	34	0	0	0	0	0	0	0	100	0	0	85	0	78	0	40	0	136	0	0	0	0	10
assemblage-432-775	0	0	226	0	0	0	0	0	0	0	10	0	10	0	8	67	0	0	62	0	9	0	26	0	14
assemblage-478-884	0	0	44	0	0	0	0	0	47	0	12	41	0	13	0	199	0	19	0	32	0	0	24	40	23
assemblage-812-136	0	6	0	0	46	97	0	0	0	0	197	0	84	0	0	0	27	0	0	0	0	0	0	0	18
assemblage-256-256	0	0	174	0	0	0	0	0	0	0	108	0	0	98	0	92	0	0	0	0	0	0	0	0	25
assemblage-107-971	0	0	47	0	0	0	45	0	10	0	0	0	0	69	0	176	0	0	0	146	0	0	0	0	7
assemblage-693-664	0	4	24	14	47	0	0	0	0	0	293	0	51	0	0	0	0	0	0	0	0	0	49	0	18
assemblage-355-837	0	0	79	48	67	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	28	0	20
assemblage-670-582	5	0	100	0	0	0	0	0	52	15	77	83	0	0	0	31	0	36	0	5	0	9	48	31	8
assemblage-380-183	0	0	9	0	0	0	0	0	87	0	48	61	0	0	0	145	0	12	0	95	0	0	10	0	4
assemblage-893-305	0	0	73	0	0	0	0	41	0	0	92	3	0	0	0	120	0	40	0	8	0	0	86	0	17
assemblage-483-866	0	0	137	0	0	0	0	0	30	0	94	50	0	0	0	32	0	0	0	28	0	39	21	27	5
assemblage-457-369	7	0	169	0	56	0	0	0	0	0	120	0	6	0	0	16	0	0	0	0	0	0	76	0	17
assemblage-430-192	0	0	213	0	0	0	0	5	0	0	15	0	12	0	11	60	0	0	73	0	6	0	24	0	19
assemblage-791-421	9	0	161	0	43	9	0	0	0	0	130	0	5	0	0	14	0	0	0	0	0	0	85	0	12
assemblage-664-667	0	7	16	20	48	0	0	0	0	0	303	0	64	0	0	0	0	0	0	0	0	0	28	0	14
assemblage-527-662	0	0	47	0	0	0	0	0	0	0	105	0	0	77	0	72	0	21	0	142	0	0	0	0	8
assemblage-521-357	0	0	9	0	0	0	9	0	0	0	50	0	0	18	0	177	0	0	0	122	0	0	59	0	11
assemblage-167-498	0	0	49	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	9	0	16
assemblage-912-154	0	0	128	0	0	0	0	0	51	20	62	72	0	0	0	49	0	43	0	7	0	7	34	19	8
assemblage-1005-716	5	0	175	0	16	0	0	9	0	0	50	5	37	0	0	118	0	0	31	0	0	0	28	0	26
assemblage-105-958	0	0	51	0	0	0	52	0	7	0	0	0	0	49	0	178	0	0	0	156	0	0	0	0	7
assemblage-908-785	0	11	0	0	62	11	0	0	0	0	206	0	68	0	0	0	112	0	0	0	0	0	0	0	15
assemblage-388-860	0	0	83	0	28	25	0	0	0	0	162	0	0	0	0	0	0	0	0	0	66	0	0	0	35
