Assemblage_Name	2-2-4777647	1-1-4	2-2-7977066	2-1880136-4	6138416-2-4	852331-0-3	3-158275-3	1664999-3553899-4	1664999-2-4	9269653-0-1	3-5899071-3	4947559-0-1	9807443-2-4	3-8076924-3	1-2932161-2724887	2120203-7489974-2724887	1-1190894-1504818	2631666-2-4	2-2-4214820	2-2-4	336371-0-9360925	4019476-0-1	1139472-2932161-2724887	1921312-0-3	1-9904776-2724887	1664999-3230874-4	6656614-7489974-2724887	3-6105937-3	3-1058569-3	336371-0-9484337	6169605-0-1	2-2-9470606	2-2-8732883	1189258-2-4	2-2-3127571	1609303-0-1	336371-0-4112932	9627801-2-4	2631666-4946293-4	336371-6196433-1	5279427-5899071-9937106	2-7300753-4	3-0-3	2-5576775-4	3873105-2-4	3-0-5185011	1-7489974-2724887	336371-6817658-1	1-5444438-7373600	1-2932161-1905349	1136403-2932161-7373600	1-2932161-7373600	336371-0-1603363	2-6373700-0	1-2932161-3382992	2-643370-0	1344707-0-8119171	2-1-2	2-1-0	336371-0-1	3-5899071-9937106	1-1190894-2724887	336371-0-1896277	3-0-8014767	4069939-2-4	3611141-1-4	713051-7489974-2724887	2-2-4324675	2-6380606-4	3-4244986-3	2-4991414-4	2553835-2-4	5714024-5899071-3	2-2-5457791
assemblage-206-182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	393	0	85	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-619-459	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	23	188	0	37	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-543-930	0	5	0	0	0	0	0	0	0	0	31	0	0	0	0	0	21	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	206	109	0	30	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-619-655	0	0	0	0	0	0	0	0	0	0	79	39	0	0	0	0	0	0	0	144	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	29	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-870-401	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	103	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	152	0	58	0	10	0	0	0	0	0	0	0	0	0	11
assemblage-804-979	0	0	0	0	0	0	0	0	15	0	0	0	0	0	73	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	158	0	53	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-352-230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	12	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	11	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-349-339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	81	0	17	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-178-601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	15	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	43	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-524-544	0	0	0	0	52	0	0	0	0	0	0	0	0	0	31	0	0	23	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	41	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	10
