Assemblage_Name	2-1149162-1	769557-1-4	3977938-1-4	2-788848-1	4-7139307-6506681	0-1-9353774	1987421-788848-1	0-1-3397907	0-2-2	0-2-1	2-788848-6801125	0-2-4725595	4-1-6198269	0-1-4	625119-9610011-6506681	3415172-1-6506681	0-2-2517107	4-1-5751290	0-2-4565353	2-3642302-1	4-350507-6506681	2-5319783-1	0-2531495-4	8893364-788848-1	0-7378085-2	2355027-1-4	6241419-788848-1	871336-3926268-1	2-788848-3032958	0-5598643-2	4-1-1976127	2-7277653-1	3415172-7161070-6506681	2-788848-4897472	4-1-3828792	0-2-883048	5672784-788848-1	2-788848-6414613	4-3761172-6506681	2733779-1622372-1	2-788848-3573582	625119-1-6506681	2812819-1-6506681	3415172-6001351-6506681	0-3771684-1	7236082-788848-1	8944468-788848-1	2-3465386-1	4645174-1-6506681	0-6766921-6806150	8214112-2-2	1-2-1	7511239-1-6506681	2-6061809-1	0-7977252-4	2-3116814-1	4-1-3058990	8210078-1-4	4-1-6506681	162834-1-6506681	8014858-3116814-1	0-1-6806150	4331408-788848-1	2874747-2-2	0-2-855711
assemblage-253-215	0	0	0	0	0	0	0	0	0	197	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	13
assemblage-619-459	0	0	0	0	0	0	0	0	214	166	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	21
assemblage-934-1004	0	0	0	52	0	0	0	0	100	95	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	6
assemblage-575-740	0	0	0	37	0	0	0	0	54	13	0	0	0	179	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	6	0	11
assemblage-793-461	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	16
assemblage-281-541	0	0	0	133	0	0	0	0	0	0	0	0	0	113	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	14
assemblage-325-227	0	0	0	212	0	0	0	0	0	0	0	0	0	79	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	15
assemblage-328-328	0	0	0	240	0	0	0	0	0	0	0	0	0	59	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	14	0	0	0	0	0	0	0	0	0	0	90	0	0	0	47	0	8
assemblage-178-601	0	0	0	229	0	0	0	0	0	0	0	0	0	130	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	33	0	6	0	0	16	0	0	0	19	0	2
assemblage-675-257	0	0	0	285	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	54	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	8
