Assemblage_Name	6155949-1-4	8493019-7467897-2	1-1-7673596	1-1-4	1037482-4-4	1-1-7011225	1-0-3	8868148-0-3	2-3687340-4	9510885-1-4	9527757-1-4	8412301-1-4	6155949-1920728-4	6155949-1-8435439	1-1-7322900	1-0-3761543	1-1-6650665	2-7467897-2	9694807-4-4	6155949-9568695-4	2-2-2	1599305-0-3	2-9546178-4	2-202816-4	8412301-1-131786	6155949-9238561-4	2-4-2763704	2-9546178-1775986	1-0-6914195	8186835-1-4	6155949-8555577-4	1-0-2141126	9513698-0-3	2-4-4	1-1-8014087	2955452-1-4	6155949-3679318-4	9527757-1-1825542	3786020-1-4	3508532-1-4	1-2816465-3	7791519-1-4	5630621-4-2763704	2-3294307-2763704	9320299-1-4	6155949-7002998-4
assemblage-195-187	0	0	0	0	4	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-760-869	134	0	0	15	65	0	66	0	29	0	0	33	0	8	0	0	0	74	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-239-868	196	0	0	8	7	0	158	0	41	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-481-156	127	0	0	60	0	0	225	0	0	0	0	0	0	0	0	0	0	5	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-790-480	77	0	0	89	0	0	245	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-912-277	190	0	0	134	0	0	104	0	0	0	0	0	54	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-343-236	169	0	33	116	0	0	73	0	0	0	0	0	18	0	0	0	0	57	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-406-358	180	59	0	105	0	0	27	25	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	18
assemblage-684-472	171	13	24	125	0	0	85	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-371-808	163	0	0	100	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13
