Assemblage_Name	9193674-0-1	5136224-3-4	0-1386977-4	3-0-90149	3-3042621-1	3-3-2	9193674-0-1969067	776246-1-4	9715367-2-0	3-7638624-1	2969037-3-4	0-1-4	3-8261662-1	4-3-9887070	4850542-1-4	0-6834450-4	1490546-1-4	5563982-1-4	4-3-8181421	3-0-5743584	0-3481441-4	1415620-1-4	1415620-1-1952556	3205870-1-4	3-7258379-1	0-1-4279022	144803-3-2	3-0-1	7269919-0-8512650	7269919-0-1	3-2342189-1	3-0-945044	0-8212101-4	2-1-0	7187584-1-4	3-4706273-1	9533819-0-5434592	4-3-4	3-0-2911591
assemblage-466-351	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-353-252	0	0	0	0	0	11	0	6	38	0	0	291	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	19	53	1
assemblage-935-1004	39	0	0	0	0	53	0	0	11	0	0	337	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	7
assemblage-498-521	0	0	0	0	0	0	0	0	77	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	18	0	0	0	0	0	0	10	2
assemblage-873-390	41	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	7	0	0	0	0	0	0	94	2
assemblage-804-979	16	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	67	5
assemblage-333-235	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	89	7
assemblage-414-339	27	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	157	0	5	0	0	0	0	0	0	0	113	7
assemblage-684-472	0	0	0	0	20	0	0	0	0	0	0	128	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	20	0	0	38	0	0	0	0	59	5
assemblage-535-559	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	227	0	0	0	0	9	0	0	0	0	110	5
