Assemblage_Name	5268050-1-4	75117-590095-5087455	2570505-8024631-5462702	3-0-1128208	4907030-1396185-5746102	2570505-5588067-4	7894022-3-9156960	4907030-4-7782480	2377644-3-4	2570505-3574682-3654792	4-3-6185597	9074472-6343212-4	2570505-2076617-4	2570505-3-4466819	2570505-6815526-4	4907030-4-8978203	3-7722225-7964511	5932967-3-4	8834713-3-5462702	5535047-3-1	3545059-3-4	3-0-6394172	2570505-6765879-8719928	3-9267002-0	5394814-3-1	4779215-105485-1714920	7739121-105485-2419663	2570505-8383704-5462702	0-9303308-1430068	2570505-3-4707388	3-0-7074867	9243144-3-4779483	3-3864568-2419663	9243144-3-8823018	2570505-6765879-4	2570505-3-1507610	3-7598101-1970499	3-0-3870956	2570505-3608969-4	3-105485-549895	3-0-7760469	9640391-3-5462702	3-105485-2419663	5636610-3-5462702	5904942-3-1	2570505-3-9156960	8913959-7598101-2419663	1205539-105485-2419663	7308771-0-1205004	3-0-7954277	2570505-1134674-9156960	0-2810573-4	2570505-7718220-4	0-1-4	3-248882-2419663	3-105485-3112549	2570505-5062429-4	3-0-2601000	0-6632290-4	2570505-3-5467712	3-0-7964511	75117-4-5087455	2570505-3-4	3-0-1205004	2570505-8699608-4	0-6343212-4	2570505-1947255-4766500	2570505-3-5462702	2570505-1390685-4	2570505-3574682-4	8316120-105485-2419663	3-0-207393	3-7598101-2419663	2570505-2059968-4	3-105485-6880554	2570505-626689-4	2570505-6076809-4	4907030-1259735-5087455	4733249-3-1	3094678-0-7964511	5059576-1396185-5087455	3-7598101-851398	0-3-4	3-7598101-1978974	4907030-3230284-5087455	2570505-5427777-4	8218828-3-1	9057308-3-4	3-105485-78993	4907030-4-5087455	3-0-6354171	8042484-105485-2419663	4779215-7394914-2419663	2570505-8458157-4	4733249-4132061-1	3-7598101-9815214	3-0-3077378	2777960-3-4	8218828-3-5793122	75117-4-5862362	3470427-6343212-4	2570505-7653458-4	4907030-1396185-5087455	3-0-376446	4907030-2864267-5087455	2570505-7653458-2058726	1081111-1-4	2570505-1947255-6995175	9867711-3-4	2196372-3-9156960	2570505-1947255-4	0-1-1430068	3-0-7926458	4-4877830-6406630	2570505-3-5037108	1317581-7598101-2419663	4907030-7446184-5087455	2570505-5842790-4	9243144-3-1655960	948949-0-0	4907030-4-1386002	6005867-3-5462702	3650721-105485-2419663	2570505-5108929-5860353	2570505-9645567-4	6001790-5588067-4	2570505-7488963-5462702	0-4112321-4	4779215-105485-2419663	3-0-0	4-4-4	6606952-4-5087455	9243144-3-4	3-8313736-0	3-7598101-1205004	3-4894524-0	2570505-7060821-4	7407966-3-5462702	2570505-3-1910088	2570505-3131227-4	4-4877830-8738063
assemblage-449-332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	101	8	0	0	0	0	2	0	0	0	0	19
assemblage-160-161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	22	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	130	0	0	0	0	0	0	0	0	0	0	17
assemblage-279-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	61	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	11	0	0	0	0	0	28	0	0	0	24	0	0	0	0	73	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23
assemblage-575-740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	46	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	104	0	0	0	0	0	23
assemblage-955-695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	8	0	108	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	14	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	60	0	0	0	0	0	21
assemblage-319-550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	159	14	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	6	0	0	0	0	0	27
assemblage-988-353	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	85	0	0	0	94	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	18
assemblage-296-570	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	12	0	0	0	91	6	6	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	25
assemblage-710-473	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	58	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	25	14	0	0	0	73	0	68	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	0	70	0	0	0	0	0	0	0	18
assemblage-532-565	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	22	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	36	0	0	0	37	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	17
