Assemblage_Name	1109327-1-2	2-0-9359138	2-0-8489228	1-0-1	0-3-223319	2-5132053-2	2-0-7274244	2-3-3	3-3-0	2-0-8847223	2-5936440-2	5945773-3-1	0-9500981-2	3-3-9377527	2553919-1-2	2556599-0-2	2-2493153-2	3-1-2	5852703-0-2	2-5494854-2	0-0-2	2-5132053-5121109	2-8305703-2	9660628-0-2	2-0-2	2-6196885-2	2-3051991-2	0-3-1	2-4730833-9359138	3-3-9355149	2-3880459-2	7188707-0-2	8275834-5936440-2
assemblage-253-215	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	58	0	0	0	358	0	0	80	0	0	0	0	2
assemblage-619-459	0	0	0	28	0	0	0	99	78	0	0	0	27	32	0	0	0	64	0	0	138	0	0	0	24	0	0	9	0	0	0	0	1
assemblage-262-855	0	0	0	0	5	0	0	18	32	0	0	0	0	103	0	0	0	61	0	0	0	0	0	0	226	0	0	35	0	0	8	0	12
assemblage-500-534	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	114	0	0	0	0	0	0	252	0	0	6	0	37	0	0	5
assemblage-955-695	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	85	0	0	0	0	0	0	272	0	0	0	0	55	0	0	4
assemblage-787-982	0	74	0	0	0	0	0	0	17	0	0	0	0	24	0	0	0	89	0	0	0	0	0	0	292	0	0	0	0	2	0	0	2
assemblage-352-230	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	31	0	0	0	0	0	354	0	0	0	0	0	0	0	8
assemblage-302-569	0	105	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	2
assemblage-699-475	0	0	6	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	386	0	0	0	0	0	0	0	10
assemblage-520-558	0	40	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	15	52	0	369	0	0	0	0	0	0	0	4
