Assemblage_Name	193055-0-2	4-0-2468844	4-5894208-2	3-4-7441019	1-2-1	7573080-0-2	4-6626345-2	4-0-684341	1-2-613100	278555-0-2	1-4115641-1	3-4-4	7302410-2-1	4-0-2	4-5209052-2	0-3-4	1-2-3363485	1-2-5389097
assemblage-477-336	0	0	0	0	213	0	0	0	0	0	0	0	0	286	0	0	0	1
assemblage-760-869	0	0	0	0	185	0	0	0	0	0	0	150	0	165	0	0	0	0
assemblage-239-868	0	0	0	0	107	0	0	0	0	0	0	115	0	263	0	15	0	0
assemblage-520-527	0	0	0	0	26	0	0	0	0	12	0	6	0	427	0	27	0	2
assemblage-936-250	0	0	0	0	10	0	0	0	0	0	0	0	0	409	0	74	0	7
assemblage-804-979	0	0	0	0	26	0	0	0	0	0	0	0	0	463	0	7	0	4
assemblage-991-355	0	0	0	0	206	0	0	0	0	0	0	0	0	293	0	0	0	1
assemblage-298-582	0	0	0	0	343	0	0	0	0	0	0	0	0	155	0	0	0	2
assemblage-663-393	0	0	0	0	115	0	0	17	12	0	0	0	0	352	0	0	0	4
assemblage-687-249	0	0	0	0	328	0	0	19	0	0	0	0	0	151	0	0	0	2
