Assemblage_Name	0-3992176-2	8168089-1-2	4-1499187-3621134	4-1-6397567	1718624-1-7377056	4-1-2245541	4-1-3621134	4672-4766492-6804244	2998283-1-3621134	4-1-6912017	1907829-4777438-2	4-1-1368447	8870290-1-7100913	155004-1-2	4568994-1-7100913	1718624-1-2	2022184-1-2	2-5896192-6804244	4-1316401-3621134	1718624-1-2584594	2022184-91769-2	9556611-2-6804244	1718624-1-6878460	1718624-1-8508862	2-2-145131	2-2-7604179	0-1-7966139	4-1-3315928	4-5321986-4093291	0-1-2	7573739-1-2	8853295-1-1368447	9322264-1-2	0-4777438-2	0-8250767-2	396065-1-1361996	2-2-6804244	4-1799244-3621134	8876958-1-3621134	1953467-1-1554258	4-2778366-3621134	1718624-830230-2	4-2605899-3621134	3878945-1-7100913	4-2266188-3621134	8085846-1-2	1718624-1-334521	5269085-1-2	9483458-1-2	0-1-9618673	1213177-2-0	1718624-6387974-1709829	4-1673018-3621134	2-2-0	1718624-1-5320700	1718624-1-5077965	4-1-1361996	4-1-9349660	3893055-1-2	1718624-7556525-2	9293076-1-0	7997937-1-663133	8230821-3064289-7100913	4049889-1-2	1874735-1-3621134	4-5321986-3621134	1051927-1-2	1718624-249785-2	4-1-8661946	0-5783930-2	2-61629-6804244	1718624-6387974-2	2688785-1-2	2871913-4136463-7100913	2871913-1-7100913	0-1-472892	527811-1-3621134	4-1-0	4-5321986-3198013	4417668-1-3621134	4855081-1-2	0-1-8970718	4-1-3368501	5874534-1-3621134	4-2666937-0	1718624-1-2137423	7605406-1-3621134	2871913-3064289-7100913	3-0-4	2871913-1-6950501	2022184-1-6135277	8744970-1-2	7997937-1-1368447	1718624-1-4184854	1718624-4563984-2	4-1-2185954	4-5321986-2235920	3842979-4136463-7100913	1718624-1-6124412	1953467-1-2	2-9056276-6804244	3551724-1-2
assemblage-912-548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	0	0	13
assemblage-370-281	0	0	0	0	0	0	27	0	0	0	0	19	8	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	6	11	0	29	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	78	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	87	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-526-929	23	0	0	0	0	0	48	0	0	0	0	0	0	0	10	154	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-539-762	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-921-684	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	107	0	9	0	12	0	0	0	0	0	0	12	0	0	89	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	6	0	0	0	28	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-799-965	0	0	0	0	0	0	161	0	0	0	0	26	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-991-355	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	7	0	0	0	237	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-599-246	0	0	0	0	0	0	112	0	0	0	0	0	0	18	0	53	14	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	6	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
assemblage-708-462	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	15	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-535-559	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	8	0	30	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18
