Assemblage_Name	1901942-4-4	7174518-898066-1585783	5809005-8232416-1	2-1050633-1260624	3-1689781-1	7174518-4-1585783	7703504-6504860-4	7981547-8956213-4	890270-4-4	2-4309479-5456624	1720455-3382816-4	1443008-4-4	2-0-1260624	5106072-4309479-1260624	7567976-2972621-4	2-4-3052034	3-4-1	0-4-3	7703504-4-8188929	4262678-4-4	2-4-4956714	9746584-4-4	2-1969537-3886178	7981547-27490-4	2-0-3	7981547-4682671-4	5809005-4-1	2-4309479-3581729	5650251-4-4	4498086-2972621-4	2-4-5452246	7981547-316535-4	7174518-4-2633618	7981547-4-4577470	2-3118117-4	2-4309479-811356	7981547-4786165-4	7981547-1154347-4	7174518-4-7718383	1146360-4309479-9921352	7703504-6151950-4	2-4309479-1260624	2-1969537-1260624	4557470-4-4	9874171-4309479-1260624	5574325-9439685-116304	2-0-7503522	2-0-116304	1-4-4	1-4-8935626	2-4244968-116304	2-3269959-116304	7174518-4-9060503	2-7333686-4	2-8874776-3052034	2-0-4614421	2-1016146-1260624	3439669-4-4	5574325-0-116304	2997925-4-4	4-0-0	2-4-253782	7981547-2972621-4	6286698-4-4	7981547-4-4	2-4-4	1610178-4-4	3445248-4309479-1260624	4-0-3909012	1610178-4225550-4	7981547-316535-5789983	4154028-4-1585783	2-2043341-1260624	915656-4-4	7703504-4-4	2-4309479-4252958	2-1969537-2626849	9384067-4-4	7503348-4-4
assemblage-907-527	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	28	94	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-742-872	0	0	4	0	0	0	0	0	0	0	0	0	107	0	0	0	0	20	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	46	139	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-925-992	0	0	0	0	0	9	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	92	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	3	122	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	52	30	0	0	0	0	20	0	0	0	0	0	0	0	4
assemblage-562-770	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	0	0	117	0	0	0	0	0	0	74	0	0	6	0	0	0	0	0	0	81	0	0	0	0	0	21	126	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-774-471	0	0	0	0	0	43	0	30	0	0	0	0	21	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	64	79	0	0	0	0	0	0	0	0	14	0	0	0	7
assemblage-820-982	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	86	0	0	0	0	0	0	0	0	0	6	0	0	23
assemblage-263-346	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	24	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	150	77	0	0	0	0	0	0	0	0	65	0	0	0	8
assemblage-414-339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	5	29	11	0	0	0	0	0	27	0	99	0	0	0	14
assemblage-183-592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	17	180	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	37	57	0	0	0	0	0	0	12	0	83	0	0	0	19
assemblage-689-249	0	0	0	0	0	0	0	0	0	0	0	3	0	0	90	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	51	0	0	44	9	12	0	0	0	0	0	0	44	0	0	0	28
