Assemblage_Name	5498562-1-3	923949-0-1053910	2243930-3-6633238	3-6996582-1	4-1-954662	3-3-4	3-9818933-1	6636189-0-1018252	7769025-1-1	4-1-1	0-1-5608962	3-1-4128511	4-1-8614430	0-1-1525574	3-3127225-1	2243930-3-7926291	2243930-3-9472430	0-1-3	3-3902609-1	3-1-3706860	3209317-1-1	3-5785565-1	3-7710326-1	6080661-3-3110739	3-3126212-1	4-5043616-1	3-227587-1	2243930-3-3749991	3-1-1037003	3-1-4361859	4-1-3519622	3-5331332-1	2243930-4875681-3110739	4-0-4	3-1-1	1341744-1-1	3-9876333-1	0-1-9078676	0-0-6818359	2243930-3-136510	4-8261327-1	9113156-3-3110739	4-3771078-4	3-5136370-1	0-0-3	2243930-8749885-3110739	2243930-6197885-3110739	2243930-3-4372689	0-380841-1053910	3-1-6323446	3-1-707228	2243930-3-2746764	4-1-2828358	4-4641719-1	2243930-3-0	3-445270-1	8235922-1-1	3-1-3738737	3-9595360-1	4-7949868-1	2547136-1-1	7700255-3-4	0-7440142-3	3-6387149-1	2243930-6237813-3110739	3-7435064-1	2243930-3-224261	4671408-3-3110739	1374995-1-1	2243930-3-9097442	5117177-0-3	2243930-9999845-0	0-0-1053910	6009096-1-1	2243930-4814586-3110739	8260919-3-3110739	5921426-1-1	2243930-3-8850066	6636189-0-3	7943214-1-1	9478762-1-1	4-1-8398122	2243930-9635780-3110739	4-1-7179346	2243930-3-3987646	4-3528505-4	2243930-3-3110739	7812456-3-3110739	0-1190417-3	4-1-436082	9539758-3-3110739	3-1-6476504	3-3288542-1
assemblage-912-548	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	7	0	0	0	15	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	11	0	0	0	5
assemblage-352-266	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	52	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	41	131	0	0	0	0	0	13
assemblage-919-1011	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	65	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	14
assemblage-575-740	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	21
assemblage-936-250	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	18
assemblage-667-848	0	0	0	0	6	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	10
assemblage-720-910	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	6	0	0	0	79	0	0	0	0	0	0	0	0	46	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	12
assemblage-288-575	0	0	19	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	84	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	77	0	0	0	0	0	2
assemblage-167-585	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	17	0	0	52	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	275	0	0	0	0	0	12
assemblage-168-953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	7	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	163	0	0	0	0	0	16
