Assemblage_Name	4-2661882-1	0-5858984-2	7823148-0-2	6701207-0-2	0-4493076-2	3-0-7725738	0-2823169-2	6024748-0-2	4019636-0-2	0-9415510-2	427905-0-2	5313204-0-2	0-379424-2	8546638-9056063-1	6707772-9056063-1	0-0-1969559	3394866-0-2	7094222-9056063-1	6795540-0-2	0-0-2	3-0-1379983	9641674-0-4	0-2105708-2	2772649-0-2	6005561-0-2	5450358-9056063-1	0-7855393-2	3-4093621-2	3-0-2	3-0-0	1-4278362-1	0-0-9064521	4-9881436-1	3-7323412-2	1676727-4-2	4-3-8130296	4-2661882-9754948	1676727-9787171-2	1-4-1	3-171286-2	0-0-4725498	1-523292-1	1895776-9056063-1	6651348-0-4927554	0-4391583-2	0-1205646-3497897	4-3-6928162	4-3-3	0-979408-2	4-9056063-1	0-1205646-2	4-9056063-3558522
assemblage-261-275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	160	47	27	0	0	0	113	0	0	17	0	0	0	0	0	0	0	0	0	0	0	100	0	3
assemblage-165-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	11	0	0	0	0	0	0	27	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	131	0	9
assemblage-367-421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	11	0	0	0	0	176	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	174	0	8
assemblage-655-312	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	8	0	66	0	0	0	0	0	0	0	0	0	0	132	0	7
assemblage-874-851	0	0	0	0	0	9	0	0	0	0	23	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	13
assemblage-540-587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	21	0	0	0	4	0	0	0	0	0	0	0	0	0	20	0	0	11	0	0	0	0	0	0	0	203	25	6
assemblage-766-303	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	38	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	2
assemblage-386-886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	276	0	10
assemblage-183-819	0	0	0	0	0	0	0	0	0	0	0	8	0	16	0	0	0	0	0	301	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	101	0	3
assemblage-641-859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	50	9	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	239	0	3
