Assemblage_Name	4-2254989-4	5940294-2-4	6910224-3-3	1-3-1	4-2-8186931	1079315-2-4	3-4-0	4-2-2742425	2-3-0	1-3-5066320	3-1-4	9263276-2-4	4-2-4	2003280-3-3	4-1241264-4	4-7723737-4	2-3-7409722	1-3-3	2-3-7856686	9828257-3-0	4-2-1081130
assemblage-266-272	0	0	0	87	0	0	171	0	0	0	198	0	17	0	0	0	0	22	0	0	5
assemblage-805-119	15	0	0	98	0	0	7	0	69	0	0	0	189	0	0	0	0	119	0	0	3
assemblage-774-925	15	0	0	88	0	0	23	0	62	0	0	0	205	0	0	0	0	106	0	0	1
assemblage-356-858	0	0	0	48	0	0	11	0	27	0	0	21	259	0	0	0	0	130	0	0	4
assemblage-377-823	0	0	0	125	0	0	0	0	0	0	0	68	93	0	0	0	69	141	0	0	4
assemblage-756-230	0	0	47	67	0	0	0	0	46	0	0	36	172	0	0	0	0	124	0	6	2
assemblage-107-490	0	0	0	112	0	0	0	0	46	0	0	0	237	0	0	0	0	102	0	0	3
assemblage-632-142	0	0	0	0	0	0	0	0	114	0	0	0	379	0	0	0	0	5	0	0	2
assemblage-510-764	0	0	0	0	0	0	0	0	128	0	0	0	319	12	0	0	0	37	0	0	4
assemblage-617-852	0	0	0	0	0	0	0	0	350	0	0	0	133	0	0	0	0	13	0	0	4
