Assemblage_Name	9694113-3-1631055	4685974-1-4	9694113-3-4404186	1005457-8340283-4	1-4590723-2	1-6883420-2	1005457-1-8350915	3913768-3-2	4-5497222-2	9410385-3-2	8171525-3-4404186	4-3-440452	1-1-0	8295371-1-4	468944-4-1	9694113-7361327-2	0-1-4	5087370-8429014-0	1-4-7498597	1-5753370-1	1-4-6563602	4-5102732-2	2-2-3	9694113-118718-2	0-1-936078	1-4-7682267	1005457-3663525-4	1005457-1-8323998	1-4875244-1	1-4-1088569	3-1-0	5087370-1-0	2485107-3444607-8376142	3709257-1-4	9694113-3-6349458	0-1-8982340	4-3-2	3-1-4517349	6363405-3-2	9694113-4296998-4885903	3-1-5876224	1720433-1-4	1222536-4-1	9694113-9982128-2	9694113-3-2	1-4-6361003	1-9161139-7682267	1-4553972-1	1703551-2-2	9694113-3-6783716	1-4-9997946	7819528-4-1	1-5241753-1	9694113-4616934-2	8990210-1-4	1005457-6000466-4	1005457-7784481-4	1710167-4-1	1-2-2	5790013-4-1	1-4-1	6481076-4-1	9694113-3-1790589	9694113-4296998-2	1-4590723-1796634	2342338-3-4404186	1005457-1-4	9694113-742827-8376142	9694113-6454746-2	9694113-3-8376142	4-343634-2	9694113-3-5582855	9694113-1560876-5582855	2296932-3-2	9694113-6218418-5582855	9694113-3444607-8376142	5087370-139017-0	3769800-1-4
assemblage-111-469	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	0	48	0	0	6	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-564-597	0	0	0	0	10	0	0	0	0	0	0	16	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	14	0	0	126	0	0	0	15	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-1010-584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	17	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	35	0	0	0	0	56	0	0	5	0	0	12
assemblage-648-313	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	119	0	0	0	0	172	0	0	0	0	0	13
assemblage-867-863	5	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	15	0	0	0	0	24	0	0	0	0	0	19	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	108	0	0	0	0	0	48	0	0	0	0	40	0	0	0	0	0	17
assemblage-540-587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	39	0	0	0	0	0	17	0	326	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	45	0	0	0	0	0	34	0	0	0	0	12	0	0	0	0	0	9
assemblage-771-316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	41	0	0	0	0	0	15	0	0	14	0	0	0	0	0	0	123	0	0	14	0	0	226	0	0	10	0	0	0	0	0	13	0	10
assemblage-632-142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	16	0	29	0	0	0	0	0	0	0	0	22	0	0	0	0	158	0	0	0	0	0	148	4	0	0	0	0	0	0	0	34	0	15
assemblage-285-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	298	25	0	23	0	0	0	0	0	41	0	19
assemblage-773-447	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	26	0	12	0	0	0	0	0	40	0	14
