Assemblage_Name	2-1-8165966	9894158-1-2	0-1-5116840	1-2565726-1	0-8752045-2	2-3026078-1	1809952-3-9974207	0-1-2	1941883-3-1	5800311-3-1	1809952-3758116-9974207	1-3-6005497	1-6199725-9974207	8731440-3-1	1-3-4359291	1-3061357-9974207	5864835-3-9974207	1809952-4437304-9974207	4013288-1-1	1-3-3896679	1-3-1	3-0-1	1-3-2886267	0-3-4	5621099-1-2	1-3-4861949	1-3-7836233	9182278-3-1	1-3-9974207	1-2-4	1-6480244-9974207	1-3-9569262	2-1-1	1-3356249-9974207	6147707-1-2	1-5978293-9974207	1900537-1-2	1-7110701-9974207	1-3-6230968
assemblage-379-593	0	0	0	0	0	0	0	264	7	0	0	0	0	0	0	0	0	0	0	0	157	0	0	25	0	0	0	0	6	7	0	0	29	0	0	0	0	0	5
assemblage-805-119	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	11	0	0	0	0	10	0	0	0	82	0	0	0	0	0	5
assemblage-766-933	0	11	0	0	0	0	0	156	0	30	0	0	0	0	0	0	0	0	0	0	183	0	11	0	0	0	0	0	14	0	0	0	84	0	0	0	0	0	11
assemblage-357-864	0	0	0	0	8	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	201	0	0	0	42	0	0	0	0	0	4
assemblage-368-829	0	0	0	0	0	0	78	75	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	324	0	0	0	7	0	0	0	0	0	4
assemblage-748-241	0	0	0	0	0	0	85	28	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	265	0	0	0	106	0	0	0	0	0	7
assemblage-500-313	0	0	0	0	0	7	29	208	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	17	0	0	0	0	0	4
assemblage-996-803	0	0	0	0	0	0	13	39	0	0	0	0	0	0	0	0	0	33	0	0	45	0	0	0	0	12	0	0	300	0	0	0	52	0	0	0	0	0	6
assemblage-262-172	0	0	0	0	0	16	29	16	0	0	0	0	0	0	0	0	0	8	0	0	53	0	0	0	0	32	5	0	274	0	0	0	38	18	0	0	0	0	11
assemblage-979-731	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	124	0	0	287	0	0	0	0	0	0	0	0	0	12
