Assemblage_Name	7639804-6063104-0	2015370-1-0	0-6587005-0	0-1-987189	0-4244522-0	0-1-5743524	0-1-5661507	0-1-3535843	3-3-0	7380728-1-0	0-1-9604070	0-3-2	0-1-5851054	0-1-0	0-9094472-7592699	6967846-1-0	5255207-1-0	0-6039181-0	0-8029119-0	2-4-323981	0-1-5136082	4-3-7274066	0-9905507-0	0-5691693-0	0-1-728448	0-1-7191463	0-3647845-0	0-9556975-0	4-4625786-3	0-1-5869442	0-1-3740638	0-1-9593126	0-1-6635834	5968368-1-0	2-4-2	5481313-1-0	0-5071082-0	9874731-1-3535843	8270357-1-0	0-1-8561666	0-6429748-0	0-1-1839080	0-1-168217	0-1-3929802	4670277-4-2	0-9094472-0	0-736767-0	5369553-1-0	3736324-1-0	0-5248089-7191463	4-1515020-3	4-3-3	0-1-711254	0-5691693-3339480
assemblage-386-578	0	0	0	0	0	0	0	0	0	0	0	33	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-791-118	0	0	0	0	0	0	0	0	0	0	0	18	0	380	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	3
assemblage-777-926	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	56	0	16
assemblage-352-867	0	0	0	0	0	0	0	0	0	0	0	0	0	449	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	9	0	11
assemblage-369-820	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	5
assemblage-803-103	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	19
assemblage-763-309	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-383-901	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-204-828	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-782-422	0	0	0	0	0	0	0	0	0	123	11	0	0	347	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
