Assemblage_Name	8168961-3-3	8219138-4556025-1	6650457-3-2703350	1-0-1	6650457-3-3946925	3-6848800-0	2-3-1	3-3-1	3-3-3	3398859-0-0	4-6731693-4	3-6848800-3036366	0-4-4	5748883-0-0	3201679-0-1	7340701-6848800-5082541	8219138-0-1	0-4-468078	1-1511107-1	4672364-6848800-5082541	1495301-6848800-5082541	6650457-3-1	1144149-0-1	8219138-0-836526	1780275-6848800-5082541	4-0-0	3-1-1	3-6848800-5082541	3-6848800-319816	3-3-3937596	3-8323359-3	4949286-0-1	6650457-3-8237144	3-3020907-3	1-0-2417153	8254211-6848800-5082541	2068207-0-1	3822952-0-0	1-7897448-1	4-7240556-0	3-9346590-5082541	1-6531099-1	4-4-4	0-3-2	8219138-0-8919898	1-5329315-1	7914537-61463-1	1-0-422303	3-6848800-8817948	3-107324-3	1-61463-1	3-3906461-5082541	6650457-3-6110743	1-8123022-1	3-5377774-3
assemblage-454-431	0	0	0	0	0	91	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	14
assemblage-419-432	0	0	0	0	0	70	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	12
assemblage-419-440	0	0	0	0	0	81	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	11
assemblage-195-455	0	0	12	21	0	0	11	0	99	0	0	0	0	258	0	0	0	0	0	0	0	53	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	10
assemblage-954-840	0	0	0	10	0	59	13	0	164	0	0	0	0	10	0	0	39	0	0	0	0	0	0	0	0	101	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	59	0	0	0	0	5
assemblage-200-472	0	0	0	32	0	24	11	0	94	0	0	0	0	78	0	0	7	0	0	0	0	19	0	0	0	69	55	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	28	0	0	0	0	0	55	0	0	0	0	14
assemblage-863-648	0	0	56	73	0	0	0	0	161	0	0	0	0	52	0	0	0	0	0	0	0	100	0	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	8
assemblage-248-931	0	0	0	116	0	36	0	0	27	0	0	0	0	59	0	0	46	0	0	0	0	81	0	0	0	35	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	58	0	0	0	0	6
assemblage-262-925	0	0	0	74	0	25	0	0	107	0	0	0	0	26	0	0	110	0	0	0	0	54	0	0	0	53	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	12
assemblage-174-110	0	0	65	115	0	23	0	0	160	0	0	0	0	4	0	0	0	0	0	0	0	19	0	0	0	56	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
