Assemblage_Name	2-2-7075082	2-2-3994614	2-7043297-4	4-4-3429669	2-8273095-4	4-0-3101148	6167894-2-4	2-2698674-4	4-3-2321807	4-1960339-3	4-4-4820479	2-2-1173661	3177846-2-4	2-6397029-4	2-2667702-4	6232429-2-4	2-2-4	2-176969-4	2-3274979-4	3212077-2-4	4-0-2	9763193-3-3	2-2-7632525	7088311-2-4	4-5233958-2	4-4-1710926	267-2-4	4-6201290-3	2-7411018-4	5470854-2-4	2633376-7975850-4	2-2-3418447	4461560-2-4	4-4-4	2-7975850-2938969	8519423-7975850-4	2390635-3-2480259	2-7975850-4	2-2-5553261	4-3-1630596	4-3291160-3	2-2-5157527	2-2-4803275	4-3-6419050	2-2-4300006	5120206-2-4	4-3-3	2390635-3-3	8211310-4-4
assemblage-869-510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6
assemblage-504-675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-428-409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	6
assemblage-912-785	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	295	0	0	0	62	0	0	0	17	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	85	0	3
assemblage-205-456	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	226	0	3
assemblage-373-790	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	254	0	5
assemblage-860-563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	32	0	0	0	0	26	0	0	0	0	0	0	0	46	0	0	0	12	0	0	0	0	0	0	0	0	42	0	8
assemblage-866-568	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	323	0	0	7	23	0	0	0	0	75	0	0	0	0	0	0	0	28	0	0	0	0	6	0	0	0	0	0	0	0	26	0	1
assemblage-868-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	56	0	0	0	0	22	0	0	0	0	0	0	0	32	0	0	0	21	0	0	0	0	0	0	0	0	39	0	11
assemblage-987-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	43	0	0	0	23	0	0	0	0	0	21	0	0	81	9	8
assemblage-174-110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	21	0	0	0	69	0	0	0	0	0	17	0	0	25	0	16
assemblage-163-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	108	0	0	0	13	0	0	0	0	0	0	0	0	57	32	3
assemblage-249-243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	30	3	7
assemblage-828-162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	40	0	16
assemblage-885-841	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	136	0	11	0	0	0	0	0	22	0	0	0	15	0	0	0	0	0	0	0	0	85	0	13
assemblage-894-922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	25	0	5
assemblage-532-222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	28	0	0	0	2	0	0	0	0	0	11	0	0	0	0	10
assemblage-711-781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	51	0	0	0	0	0	0	0	0	18	0	4
assemblage-776-962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	10	0	0	0	0	15
assemblage-585-782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	4	0	0	0	0	7
assemblage-920-952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	5	0	0	0	0	5
assemblage-488-381	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	7	27	0	0	0	0	0	0	8	20	0	0	12	0	0	0	0	0	0	0	0	0	0	6
assemblage-754-596	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	5	46	0	0	0	0	0	0	11	11	0	0	13	0	0	0	0	0	0	0	0	0	0	8
assemblage-497-361	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	9
assemblage-572-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	4
assemblage-582-219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5
assemblage-573-213	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17
assemblage-831-823	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	28	0	0	33	0	56	0	0	0	0	0	0	0	0	0	0	0
assemblage-617-440	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	5	0	36	0	0	0	0	0	0	0	0	0	0	15
assemblage-843-805	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	13	0	0	23	0	65	0	0	0	0	0	0	0	0	0	0	3
