Assemblage_Name	731267-2-4	3749783-3-1	8230970-2-4	6423098-2-4	3-2-4204994	2-3-7792204	8887134-3-6938719	7324550-3-9550430	3-3-4	7223456-2-1	3-9837191-4761405	6451885-2-4	2-3-6938719	3345191-2-4	3-2-6501075	2-3-5798998	4027533-3-1	7228456-2-6501075	1577405-6770190-0	2-3-4888530	6914244-6770190-0	5384053-2-1	2252645-2-4	2-3-9550430	7223456-7855379-1	3-1-1	2-7997331-1	3-2-2056382	3-1551518-4	4768616-3-1	2-3-3713198	5017079-9837191-2	4658182-3-1	4-2-2524402	4-2-4310486	3-2-4454439	4-2-6034034	3-2-5044732	4-6770190-0	3-3-768656	2-7456370-1	2-3-5802228	3-2-9805625	2-9577814-1	3-3-9633128	4-102889-0	3-9837191-2	7223456-2-1343576	9702822-3-9550430	8674426-2-4	4-2-0	1208493-2-1	2-3-4993864	1009471-2-4	6773518-3-1	2637905-7855379-1	4-6770190-3437720	2-3-1	5198575-9837191-2	2747976-3-1	8965155-2-4	5384053-2-5711963	2-3-8348342	2-5167037-1	3-2-4	3-2-9662476	4305613-2-4310486	2-3-1489320	3726941-3-1	3-6972019-6501075
assemblage-496-654	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-428-409	0	0	0	0	0	0	23	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	7	0	0	0	0	0	0	7
assemblage-419-432	0	0	0	0	0	0	10	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	1	0	0	0	0	0	0	15
assemblage-953-864	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	17	0	0	0	6	0	0	0	0	0	0	221	0	0	0	24	27	0	106	0	0	0	0	17
assemblage-200-472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	60	0	49	0	0	0	72	0	0	0	0	0	0	137	0	0	0	0	17	0	51	0	0	0	0	36
assemblage-199-476	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	26	0	0	0	10	0	0	0	0	0	0	245	0	0	0	15	17	0	86	0	0	0	0	18
assemblage-862-661	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	227	0	0	0	0	0	0	56	0	0	0	0	18
assemblage-877-571	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	170	0	0	0	0	0	0	92	0	0	0	0	0	8	95	0	0	0	0	8
assemblage-274-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	12	0	28	0	0	0	8	0	0	0	0	0	0	335	0	0	0	0	0	0	74	0	0	0	0	19
assemblage-664-969	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	82	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	7	0	0	0	32	0	0	0	0	0	0	0	0	0	80	0	0	0	63	0	0	0	0	0	0	125	0	0	0	0	0	0	29	0	0	0	0	11
